<s>at</s>	<s>atlarız</s>	<s>atız</s>
<s>baykuşlar</s>	<s>baykuşumuzdan</s>	<s>baykuşumuzdan</s>
<s>sürücünüz</s>	<s>sürücümüzü</s>	<s>sürücümüzü</s>
<s>kaşarının</s>	<s>kaşarlarımızı</s>	<s>kaşarlarımızı</s>
<s>sebepleri</s>	<s>sebeplerinin</s>	<s>sebeplerinin</s>
<s>lezzetler</s>	<s>lezzetlerini</s>	<s>lezzetlerini</s>
<s>istemcini</s>	<s>istemciye</s>	<s>istemciye</s>
<s>oyalamadı</s>	<s>oyalamadık</s>	<s>oyalamadık</s>
<s>nisanının</s>	<s>nisanlarımı</s>	<s>nisanlarımı</s>
<s>tenlerini</s>	<s>tenimi</s>	<s>tenimi</s>
<s>elmasının</s>	<s>elmanın</s>	<s>elmasın</s>
<s>çemberini</s>	<s>çemberlerimizi</s>	<s>çemberlerimizi</s>
<s>kızanlara</s>	<s>kızanından</s>	<s>kızanından</s>
<s>ayılarmış</s>	<s>ayılarınıza</s>	<s>ayılarınıza</s>
<s>eşiklerde</s>	<s>eşiklerinde</s>	<s>eşiklerinde</s>
<s>laleleriz</s>	<s>lalemizden</s>	<s>lalemizden</s>
<s>odasından</s>	<s>odalarımızda</s>	<s>odalarımızda</s>
<s>çaplarımı</s>	<s>çaplarsınız</s>	<s>çapsınız</s>
<s>körlerdik</s>	<s>körlermişiz</s>	<s>körlermişiz</s>
<s>biçiminiz</s>	<s>biçimlerinden</s>	<s>biçimlerinden</s>
<s>sunağımız</s>	<s>sunağının</s>	<s>sunağının</s>
<s>büküyoruz</s>	<s>bükmüyordu</s>	<s>bükmüyordu</s>
<s>garajında</s>	<s>garaj</s>	<s>garaj</s>
<s>ilerimizi</s>	<s>ilerin</s>	<s>ilerin</s>
<s>şampiyona</s>	<s>şampiyonlarından</s>	<s>şampiyonlarından</s>
<s>çıktısına</s>	<s>çıktılar</s>	<s>çıktılar</s>
<s>abartırız</s>	<s>abartıyorlardı</s>	<s>abartıyorlardı</s>
<s>kararıyor</s>	<s>kararmam</s>	<s>kararmam</s>
<s>dalgıcıma</s>	<s>dalgıçlarına</s>	<s>dalgıçlarına</s>
<s>olayların</s>	<s>olayının</s>	<s>olayının</s>
<s>dönemlere</s>	<s>dönemler</s>	<s>dönemler</s>
<s>boşanacak</s>	<s>boşandılar</s>	<s>boşandılar</s>
<s>ağdacıdan</s>	<s>ağdacılarımızda</s>	<s>ağdacılarımızda</s>
<s>yalancısı</s>	<s>yalancımızı</s>	<s>yalancımızı</s>
<s>destanını</s>	<s>destanlarımıza</s>	<s>destanlarımıza</s>
<s>terliğine</s>	<s>terliğinizde</s>	<s>terliğinizde</s>
<s>dişlisini</s>	<s>dişlilerini</s>	<s>dişlilerini</s>
<s>kulübemiz</s>	<s>kulübemden</s>	<s>kulübemden</s>
<s>bluzumdan</s>	<s>bluzunun</s>	<s>bluzunun</s>
<s>şatomuzun</s>	<s>şatolarımızdan</s>	<s>şatolarımızdan</s>
<s>amcamızda</s>	<s>amcaya</s>	<s>amcaya</s>
<s>kunduzlar</s>	<s>kunduzu</s>	<s>kunduzu</s>
<s>şuurlarda</s>	<s>şuurlarımıza</s>	<s>şuurlarımıza</s>
<s>gübrenize</s>	<s>gübreyi</s>	<s>gübreyi</s>
<s>tulumunun</s>	<s>tulumları</s>	<s>tulumları</s>
<s>elçimizin</s>	<s>elçin</s>	<s>elçin</s>
<s>destanımı</s>	<s>destanın</s>	<s>destanın</s>
<s>donmanıza</s>	<s>donmanda</s>	<s>donmanda</s>
<s>haberinin</s>	<s>haberime</s>	<s>haberime</s>
<s>tarçından</s>	<s>tarçlarda</s>	<s>tarçınlarda</s>
<s>eğlencesi</s>	<s>eğlenceydiler</s>	<s>eğlenceydiler</s>
<s>boklarımı</s>	<s>boku</s>	<s>boku</s>
<s>mantilere</s>	<s>mantiniz</s>	<s>mantiniz</s>
<s>yayasınız</s>	<s>yayalardı</s>	<s>yayalardı</s>
<s>şubatlara</s>	<s>şubatınızı</s>	<s>şubatınızı</s>
<s>arabalara</s>	<s>arabalarımızın</s>	<s>arabalarımızın</s>
<s>pijamanda</s>	<s>pijamalarımızda</s>	<s>pijamalarımızda</s>
<s>kalemizin</s>	<s>kalene</s>	<s>kalene</s>
<s>bilinçler</s>	<s>bilincimizin</s>	<s>bilincimizin</s>
<s>akışkanın</s>	<s>akışkanlardan</s>	<s>akışkanlardan</s>
<s>filizinin</s>	<s>filizlerinizden</s>	<s>filizlerinizden</s>
<s>kitabemde</s>	<s>kitabelerinden</s>	<s>kitabelerinden</s>
<s>bakmanızı</s>	<s>bakmayı</s>	<s>bakmayı</s>
<s>meşalemin</s>	<s>meşalesiniz</s>	<s>meşalesiniz</s>
<s>leşlerden</s>	<s>leşlerinde</s>	<s>leşlerinde</s>
<s>ağlamıyor</s>	<s>ağlayacak</s>	<s>ağlayacak</s>
<s>göğsümüze</s>	<s>göğüsleri</s>	<s>göğüsleri</s>
<s>utlarımız</s>	<s>utumuzun</s>	<s>udumuzun</s>
<s>haşefeden</s>	<s>haşefelerimden</s>	<s>haşefelerimden</s>
<s>büzlerime</s>	<s>büzünde</s>	<s>büzünde</s>
<s>çantaları</s>	<s>çantası</s>	<s>çantası</s>
<s>kartaldan</s>	<s>kartallarından</s>	<s>kartallarından</s>
<s>çıpalarda</s>	<s>çıpalar</s>	<s>çıpalar</s>
<s>sapanımda</s>	<s>sapanımızdan</s>	<s>sapanımızdan</s>
<s>balkanıma</s>	<s>balkanlardık</s>	<s>balkanlardık</s>
<s>geyşamıza</s>	<s>geyşanızı</s>	<s>geyşanızı</s>
<s>otlarında</s>	<s>otlarınıza</s>	<s>otlarınıza</s>
<s>perimizin</s>	<s>perilerinde</s>	<s>perilerinde</s>
<s>madalyaya</s>	<s>madalyaları</s>	<s>madalyaları</s>
<s>sakızınız</s>	<s>sakızına</s>	<s>sakızına</s>
<s>göğsümüzü</s>	<s>göğse</s>	<s>göğse</s>
<s>içeceğini</s>	<s>içeceklerim</s>	<s>içeceklerim</s>
<s>içermedik</s>	<s>içermezsin</s>	<s>içermezsin</s>
<s>objelerde</s>	<s>objeler</s>	<s>objeler</s>
<s>mananızın</s>	<s>mananız</s>	<s>mananız</s>
<s>sapıklarım</s>	<s>sapığı</s>	<s>sapığı</s>
<s>haberinize</s>	<s>haberde</s>	<s>haberde</s>
<s>yaratından</s>	<s>yaratılarmış</s>	<s>yaratılarmış</s>
<s>keleğinden</s>	<s>keleğinizi</s>	<s>keleğinizi</s>
<s>tahtımızda</s>	<s>tahtlarımızda</s>	<s>tahtlarımızda</s>
<s>adamlarına</s>	<s>adamlarımızda</s>	<s>adamlarımızda</s>
<s>çekiçlerde</s>	<s>çekicimizden</s>	<s>çekicimizden</s>
<s>yolcularım</s>	<s>yolcularına</s>	<s>yolcularına</s>
<s>yedirmedim</s>	<s>yedirmeyeceksiniz</s>	<s>yedirmeyeceksiniz</s>
<s>patronunda</s>	<s>patronlardır</s>	<s>patronlardır</s>
<s>bükmememiz</s>	<s>bükmemenin</s>	<s>bükmemenin</s>
<s>fokumuzdan</s>	<s>fokla</s>	<s>foka</s>
<s>seslerimde</s>	<s>sesler</s>	<s>sesler</s>
<s>filminizin</s>	<s>filmlerimizden</s>	<s>filmlerimizden</s>
<s>zeytinlere</s>	<s>zeytin</s>	<s>zeytin</s>
<s>tutkunuzda</s>	<s>tutkunuzu</s>	<s>tutkunuzu</s>
<s>spamlarımı</s>	<s>spamlarına</s>	<s>spamlarına</s>
<s>sağlarımın</s>	<s>sağlarım</s>	<s>sağlarım</s>
<s>soygazımız</s>	<s>soygazlarında</s>	<s>soygazlarında</s>
<s>jeolojiden</s>	<s>jeolojinin</s>	<s>jeolojinin</s>
<s>başkentime</s>	<s>başkentimi</s>	<s>başkentimi</s>
<s>misketimin</s>	<s>misketlerden</s>	<s>misketlerden</s>
<s>buluyorduk</s>	<s>buldunuz</s>	<s>buladınız</s>
<s>yörelerine</s>	<s>yöremden</s>	<s>yöremden</s>
<s>fişeğinizi</s>	<s>fişeklerini</s>	<s>fişeklerini</s>
<s>kunduzumuz</s>	<s>kunduzlardık</s>	<s>kunduzlardık</s>
<s>gözlerinin</s>	<s>gözlerine</s>	<s>gözlerine</s>
<s>insanımsım</s>	<s>insanımsının</s>	<s>insanımsının</s>
<s>seçmesinin</s>	<s>seçmelerden</s>	<s>seçmelerden</s>
<s>yaratısına</s>	<s>yaratılarına</s>	<s>yaratılarına</s>
<s>kümbetiniz</s>	<s>kümbetimden</s>	<s>kümbetimden</s>
<s>tenisçinin</s>	<s>tenisçilerinden</s>	<s>tenisçilerinden</s>
<s>yıldızında</s>	<s>yıldızına</s>	<s>yıldızına</s>
<s>konuyordum</s>	<s>konmayacaksınız</s>	<s>konmayacaksınız</s>
<s>çapalarıma</s>	<s>çapamda</s>	<s>çapamda</s>
<s>neneydiniz</s>	<s>neneyi</s>	<s>neneyi</s>
<s>iyeliklere</s>	<s>iyeliklerimiz</s>	<s>iyeliklerimiz</s>
<s>hükûmetine</s>	<s>hükûmetinde</s>	<s>hükûmetinde</s>
<s>önerimizde</s>	<s>önerilerine</s>	<s>önerilerine</s>
<s>daldırtmaz</s>	<s>daldırttık</s>	<s>daldırtdık</s>
<s>demircimin</s>	<s>demirciniz</s>	<s>demirciniz</s>
<s>sapıksınız</s>	<s>sapığını</s>	<s>sapığını</s>
<s>güreşlerde</s>	<s>güreşinizde</s>	<s>güreşinizde</s>
<s>ölümünüzde</s>	<s>ölümümüzde</s>	<s>ölümümüzde</s>
<s>dondurmanı</s>	<s>dondurmanızın</s>	<s>dondurmanızın</s>
<s>mantisinin</s>	<s>mantimden</s>	<s>mantimden</s>
<s>sıpamızdan</s>	<s>sıpalarımda</s>	<s>sıpalarımda</s>
<s>cimcimeler</s>	<s>cimcimelerdir</s>	<s>cimcimelerdir</s>
<s>bakandılar</s>	<s>bakanınızdan</s>	<s>bakanınızdan</s>
<s>yemişlerin</s>	<s>yemişini</s>	<s>yemişini</s>
<s>bölgenizde</s>	<s>bölgelerinden</s>	<s>bölgelerinden</s>
<s>bölüyorlar</s>	<s>bölüyorlardı</s>	<s>bölüyorlardı</s>
<s>kasığınıza</s>	<s>kasıklarında</s>	<s>kasıklarında</s>
<s>sakızlarda</s>	<s>sakızından</s>	<s>sakızından</s>
<s>büstlerimi</s>	<s>büstlerinde</s>	<s>büstlerinde</s>
<s>kaçmıyordu</s>	<s>kaçmayacaklar</s>	<s>kaçmayacaklar</s>
<s>amacımızda</s>	<s>amaçlarımda</s>	<s>amaçlarımda</s>
<s>iffetmişiz</s>	<s>iffetinizi</s>	<s>iffetinizi</s>
<s>kasabımdan</s>	<s>kasaplarından</s>	<s>kasaplarından</s>
<s>ortağımdan</s>	<s>ortaklardı</s>	<s>ortaklardı</s>
<s>kadınından</s>	<s>kadınlarınızın</s>	<s>kadınlarınızın</s>
<s>sormuyorum</s>	<s>soruyordunuz</s>	<s>soruyordunuz</s>
<s>haritamdan</s>	<s>haritaların</s>	<s>haritaların</s>
<s>jonglörden</s>	<s>jonglörlerimize</s>	<s>jonglörlerimize</s>
<s>kimliğimiz</s>	<s>kimliklerine</s>	<s>kimliklerine</s>
<s>ihtiyaçtan</s>	<s>ihtiyaçlarından</s>	<s>ihtiyaçlarından</s>
<s>rüzgârımın</s>	<s>rüzgârlarımdan</s>	<s>rüzgârlarımdan</s>
<s>pornonuzda</s>	<s>pornomda</s>	<s>pornomda</s>
<s>otoculukta</s>	<s>otoculuğunuza</s>	<s>otoculuğunuza</s>
<s>yağlıyorum</s>	<s>yağlarsınız</s>	<s>yağlarsınız</s>
<s>acıkıyorum</s>	<s>acıtır</s>	<s>acıkır</s>
<s>yüzeylerim</s>	<s>yüzeyler</s>	<s>yüzeyler</s>
<s>anlatırsın</s>	<s>anlatmayız</s>	<s>anlatmayız</s>
<s>kuşunuzdan</s>	<s>kuşunu</s>	<s>kuşunu</s>
<s>dalıyorsun</s>	<s>daldınız</s>	<s>daldınız</s>
<s>ocaklarımı</s>	<s>ocaklarınıza</s>	<s>ocaklarınıza</s>
<s>bitişinizi</s>	<s>bitişlerine</s>	<s>bitişlerine</s>
<s>beyitlerde</s>	<s>beyitlerinizi</s>	<s>beyitlerinizi</s>
<s>deleceksin</s>	<s>delmem</s>	<s>delmem</s>
<s>yaratından</s>	<s>yaratını</s>	<s>yaratını</s>
<s>izleyiciye</s>	<s>izleyicisiniz</s>	<s>izleyicisiniz</s>
<s>finalimizi</s>	<s>finallerini</s>	<s>finallerini</s>
<s>gondolumuz</s>	<s>gondollarımın</s>	<s>gondollarımın</s>
<s>körfezlere</s>	<s>körfezlerine</s>	<s>körfezlerine</s>
<s>yeşimlerin</s>	<s>yeşimlerin</s>	<s>yeşimlerin</s>
<s>kıromuzdan</s>	<s>kıroyu</s>	<s>kıroyu</s>
<s>alametinin</s>	<s>alametlerinin</s>	<s>alametlerinin</s>
<s>mumyalarım</s>	<s>mumyalarda</s>	<s>mumyalarda</s>
<s>destanımın</s>	<s>destanlarını</s>	<s>destanlarını</s>
<s>semerimize</s>	<s>semerlerin</s>	<s>semerlerin</s>
<s>ürelerimde</s>	<s>üreyi</s>	<s>üreyi</s>
<s>emmiydiniz</s>	<s>emmime</s>	<s>emmime</s>
<s>yeleğinizi</s>	<s>yeleğimizin</s>	<s>yeleğimizin</s>
<s>lisanımıza</s>	<s>lisan</s>	<s>lisan</s>
<s>kümesinizi</s>	<s>kümeslerimizi</s>	<s>kümeslerimizi</s>
<s>istisnadan</s>	<s>istisnaya</s>	<s>istisnaya</s>
<s>mandalımın</s>	<s>mandallarımızı</s>	<s>mandallarımızı</s>
<s>geyşamızda</s>	<s>geyşanızı</s>	<s>geyşanızı</s>
<s>tundramıza</s>	<s>tundraydılar</s>	<s>tundraydılar</s>
<s>yutmadılar</s>	<s>yutuyorsun</s>	<s>yutuyorsun</s>
<s>hastasının</s>	<s>hastalarına</s>	<s>hastalarına</s>
<s>yoldaşları</s>	<s>yoldaşlarımızdan</s>	<s>yoldaşlarımızdan</s>
<s>yakıyordum</s>	<s>yakmadın</s>	<s>yakmadın</s>
<s>özgürlüğün</s>	<s>özgürlüklerimizden</s>	<s>özgürlüklerimizden</s>
<s>zırtgelini</s>	<s>zırtgelde</s>	<s>zırtgelde</s>
<s>madalyanın</s>	<s>madalyalara</s>	<s>madalyalara</s>
<s>programlar</s>	<s>programımız</s>	<s>programımız</s>
<s>ustalarına</s>	<s>ustalar</s>	<s>ustalar</s>
<s>boşanırsın</s>	<s>boşanmayız</s>	<s>boşanmayız</s>
<s>kışkırttık</s>	<s>kışkırtmıyordu</s>	<s>kışkırtmıyordu</s>
<s>bebeklerin</s>	<s>bebeğimi</s>	<s>bebeğimi</s>
<s>krakerleri</s>	<s>krakerlerine</s>	<s>krakerlerine</s>
<s>delmiyorum</s>	<s>deliyordu</s>	<s>deliyordu</s>
<s>yatağımızı</s>	<s>yatağa</s>	<s>yatağa</s>
<s>fasıklardı</s>	<s>fasığımda</s>	<s>fasığımda</s>
<s>aygıtçığın</s>	<s>aygıtçığınız</s>	<s>aygıtçığınız</s>
<s>kelepçende</s>	<s>kelepçelerimden</s>	<s>kelepçelerimden</s>
<s>tanıtırlar</s>	<s>tanıtırsınız</s>	<s>tanıtırsınız</s>
<s>şeklimizde</s>	<s>şeklisini</s>	<s>şeklini</s>
<s>gündöndümü</s>	<s>gündöndülerin</s>	<s>gündöndülerin</s>
<s>köylümüzde</s>	<s>köylülerim</s>	<s>köylülerim</s>
<s>heykelciğe</s>	<s>heykelciğini</s>	<s>heykelciğini</s>
<s>kardeşliğe</s>	<s>karaciğerlerde</s>	<s>kardeşliklerde</s>
<s>yeşimlerin</s>	<s>yeşimlerinin</s>	<s>yeşimlerinin</s>
<s>doğarsınız</s>	<s>doğuyorlardı</s>	<s>doğuyorlardı</s>
<s>büstlerine</s>	<s>büstünden</s>	<s>büstünden</s>
<s>acıkmazlar</s>	<s>acıkacaklar</s>	<s>acıkacaklar</s>
<s>kılıfınıza</s>	<s>kılıfında</s>	<s>kılıfında</s>
<s>sesçilerdi</s>	<s>sesçileriniz</s>	<s>sesçileriniz</s>
<s>kuzgununuz</s>	<s>kuzgununun</s>	<s>kuzgununun</s>
<s>ninnimizde</s>	<s>ninnilermiş</s>	<s>ninnilermiş</s>
<s>seslerimiz</s>	<s>sesinden</s>	<s>sesinden</s>
<s>çıktısında</s>	<s>çıktılarından</s>	<s>çıktılarından</s>
<s>umurunuzun</s>	<s>umurlarına</s>	<s>umurlarına</s>
<s>basıyorduk</s>	<s>basıyorsunuz</s>	<s>basıyorsunuz</s>
<s>sağrınızın</s>	<s>sağrında</s>	<s>sağrında</s>
<s>parıltıyız</s>	<s>parıltılar</s>	<s>parıltılar</s>
<s>çalmıyoruz</s>	<s>çalacak</s>	<s>çalacak</s>
<s>umurlarına</s>	<s>umurlarından</s>	<s>umurlarından</s>
<s>âlimimizde</s>	<s>âlimlerde</s>	<s>âlimlerde</s>
<s>önerisinde</s>	<s>önerileriniz</s>	<s>önerileriniz</s>
<s>tenisçiniz</s>	<s>tenisçilerini</s>	<s>tenisçilerini</s>
<s>çedarlarız</s>	<s>çedarlar</s>	<s>çedarlar</s>
<s>abarttılar</s>	<s>abartmazlar</s>	<s>abartmazlar</s>
<s>şallarında</s>	<s>şalında</s>	<s>şalında</s>
<s>jölelerine</s>	<s>jölelerden</s>	<s>jölelerden</s>
<s>atomlarını</s>	<s>atomlarımızı</s>	<s>atomlarımızı</s>
<s>buluyordun</s>	<s>bulmuyordum</s>	<s>bulmuyordum</s>
<s>sağlayıcın</s>	<s>sağlayıcılarımızın</s>	<s>sağlayıcılarımızın</s>
<s>zibildiler</s>	<s>zibilleri</s>	<s>zibilleri</s>
<s>kamusların</s>	<s>kamuslarının</s>	<s>kamuslarının</s>
<s>buharlaştı</s>	<s>buharlaşıyorsun</s>	<s>buharlaşıyorsun</s>
<s>pastamızda</s>	<s>pastalarında</s>	<s>pastalarında</s>
<s>barışmıyor</s>	<s>barışıyor</s>	<s>barışıyor</s>
<s>protestona</s>	<s>protestondan</s>	<s>protestondan</s>
<s>gitmemizin</s>	<s>gitmenizin</s>	<s>gitmenizin</s>
<s>kabaklarız</s>	<s>kabağı</s>	<s>kabağı</s>
<s>gösterimin</s>	<s>gösteriyi</s>	<s>gösteriyi</s>
<s>sözleşmesi</s>	<s>sözleşmeler</s>	<s>sözleşmeler</s>
<s>anafazlara</s>	<s>anafazlarım</s>	<s>anafazlarım</s>
<s>fakültemde</s>	<s>fakültesinin</s>	<s>fakültesinin</s>
<s>nutuklarda</s>	<s>nutuklarımı</s>	<s>nutuklarımı</s>
<s>gözlüğünün</s>	<s>gözlüklerinizin</s>	<s>gözlüklerinizin</s>
<s>kümeslerin</s>	<s>kümeslere</s>	<s>kümeslere</s>
<s>aldatmadık</s>	<s>aldattınız</s>	<s>aldattınız</s>
<s>ummanımıza</s>	<s>ummanlardı</s>	<s>ummanlardı</s>
<s>dinletinin</s>	<s>dinletinden</s>	<s>dinletisinden</s>
<s>kalfaların</s>	<s>kalfalarınızda</s>	<s>kalfalarınızda</s>
<s>doğumumuzu</s>	<s>doğumlarıma</s>	<s>doğumlarıma</s>
<s>ortamsınız</s>	<s>ortaktınız</s>	<s>ortamdınız</s>
<s>büküyordun</s>	<s>bükmüyorlar</s>	<s>bükmüyorlar</s>
<s>gecelerimi</s>	<s>gecenize</s>	<s>gecenize</s>
<s>ketçabında</s>	<s>ketçabımda</s>	<s>ketçabımda</s>
<s>eniştelere</s>	<s>eniştelerimiz</s>	<s>eniştelerimiz</s>
<s>diskomuzda</s>	<s>diskosunu</s>	<s>diskosunu</s>
<s>başçığımız</s>	<s>başçığınız</s>	<s>başçığınız</s>
<s>attırdılar</s>	<s>attırdınız</s>	<s>attırdınız</s>
<s>nallarımın</s>	<s>nalımıza</s>	<s>nalımıza</s>
<s>rakamından</s>	<s>rakamlarımızın</s>	<s>rakamlarımızın</s>
<s>kesermızın</s>	<s>keserlarımızı</s>	<s>keserlarımızı</s>
<s>dengesinde</s>	<s>dengemize</s>	<s>dengemize</s>
<s>öksürürler</s>	<s>öksürüyorlar</s>	<s>öksürüyorlar</s>
<s>gerzeğinin</s>	<s>gerzeklersiniz</s>	<s>gerzeklersiniz</s>
<s>işletmemde</s>	<s>işletmeden</s>	<s>işletmeden</s>
<s>takatlarda</s>	<s>takatınızın</s>	<s>takatınızın</s>
<s>asteroidim</s>	<s>asteroidimizin</s>	<s>asteroidimizin</s>
<s>hemşiremize</s>	<s>hemşirelerinden</s>	<s>hemşirelerinden</s>
<s>hindilerime</s>	<s>hindilermişiz</s>	<s>hindilermişiz</s>
<s>idarelerini</s>	<s>idarelerini</s>	<s>idarelerini</s>
<s>yalıtımımın</s>	<s>yalıtımı</s>	<s>yalıtımı</s>
<s>koymuyordum</s>	<s>koydu</s>	<s>koydu</s>
<s>böreklerime</s>	<s>böreğimizden</s>	<s>böreğimizden</s>
<s>alfabelerin</s>	<s>alametin</s>	<s>alfabenin</s>
<s>gösterimize</s>	<s>gösterilerinde</s>	<s>gösterilerinde</s>
<s>çizgilerime</s>	<s>çizgilerden</s>	<s>çizgilerden</s>
<s>ölçtürmeyiz</s>	<s>ölçtürüyorum</s>	<s>ölçtürüyorum</s>
<s>gözlükçümüz</s>	<s>gözlükçüyü</s>	<s>gözlükçüyü</s>
<s>bilyelerdir</s>	<s>bilyeleri</s>	<s>bilyeleri</s>
<s>blogcularız</s>	<s>blogcularmış</s>	<s>blogcularmış</s>
<s>açılıyordum</s>	<s>açılmadınız</s>	<s>açılmadınız</s>
<s>boşalmamıza</s>	<s>boşalmayı</s>	<s>boşalmayı</s>
<s>akılarınıza</s>	<s>akılarının</s>	<s>akılarının</s>
<s>gelişiyoruz</s>	<s>gelişmedim</s>	<s>gelişmedim</s>
<s>bölümünüzde</s>	<s>bölümlerinde</s>	<s>bölümlerinde</s>
<s>meşrubatımı</s>	<s>meşrubatlarına</s>	<s>meşrubatlarına</s>
<s>elmalarımda</s>	<s>elmalara</s>	<s>elmalara</s>
<s>yaratmamdan</s>	<s>yaratmayı</s>	<s>yaratmayı</s>
<s>gösterileri</s>	<s>gösterilerinden</s>	<s>gösterilerinden</s>
<s>ayılarınıza</s>	<s>ayılarım</s>	<s>ayılarım</s>
<s>değiştirdim</s>	<s>değiştirirsiniz</s>	<s>değiştirirsiniz</s>
<s>sosluklarda</s>	<s>sosluklarını</s>	<s>sosluklarını</s>
<s>röntgenimde</s>	<s>röntgenler</s>	<s>röntgenler</s>
<s>anafazlarda</s>	<s>anafazları</s>	<s>anafazları</s>
<s>startlarıma</s>	<s>startlardan</s>	<s>startlardan</s>
<s>kızlığımızı</s>	<s>kızlıklarınızdan</s>	<s>kızlıklarınızdan</s>
<s>oyalıyorsun</s>	<s>oyalmayacaksın</s>	<s>oyalamayacaksın</s>
<s>elipsinizin</s>	<s>elipsine</s>	<s>elipsine</s>
<s>fillerimizi</s>	<s>fillerinde</s>	<s>fillerinde</s>
<s>cikletinize</s>	<s>cikletine</s>	<s>cikletine</s>
<s>titrettiniz</s>	<s>titriyordunuz</s>	<s>titretiyordunuz</s>
<s>yolcularıma</s>	<s>yolcuları</s>	<s>yolcuları</s>
<s>ucubelerine</s>	<s>ucubelermişsiniz</s>	<s>ucubelermişsiniz</s>
<s>paskalyanın</s>	<s>paskalyaların</s>	<s>paskalyaların</s>
<s>yarınınızın</s>	<s>yarınlarımız</s>	<s>yarınlarımız</s>
<s>korsenizden</s>	<s>korselerinin</s>	<s>korselerinin</s>
<s>tütsüymüşüz</s>	<s>tütsünüzden</s>	<s>tütsünüzden</s>
<s>ördeklerine</s>	<s>ördeklerinde</s>	<s>ördeklerinde</s>
<s>kanamıyordu</s>	<s>kanamayacaksınız</s>	<s>kanamayacaksınız</s>
<s>karadulumun</s>	<s>karadullarından</s>	<s>karadullarından</s>
<s>gelişeceğiz</s>	<s>gelişmiyorsunuz</s>	<s>gelişmiyorsunuz</s>
<s>metreslerde</s>	<s>metrese</s>	<s>metrese</s>
<s>gözlükçünde</s>	<s>gözlükçülerimizde</s>	<s>gözlükçülerimizde</s>
<s>bağcığından</s>	<s>bağcıklarını</s>	<s>bağcıklarını</s>
<s>kesyaplarda</s>	<s>kesyapımız</s>	<s>kesyapımız</s>
<s>kılıfımızda</s>	<s>kılıflarından</s>	<s>kılıflarından</s>
<s>ofisimizden</s>	<s>ofislerinin</s>	<s>ofislerinin</s>
<s>düldüllerde</s>	<s>düldüllerinde</s>	<s>düldüllerinde</s>
<s>korsandılar</s>	<s>korsanlarına</s>	<s>korsanlarına</s>
<s>sultanımdan</s>	<s>sultanım</s>	<s>sultanım</s>
<s>paylaşırsın</s>	<s>paylaşmam</s>	<s>paylaşmam</s>
<s>eziyetçiniz</s>	<s>eziyetçilerimiz</s>	<s>eziyetçilerimiz</s>
<s>maktalardan</s>	<s>maktam</s>	<s>maktam</s>
<s>sislerinize</s>	<s>sislerinin</s>	<s>sislerinin</s>
<s>düzeleceğim</s>	<s>düzelmiyorsunuz</s>	<s>düzelmiyorsunuz</s>
<s>gürgenlerde</s>	<s>gürgenlerden</s>	<s>gürgenlerden</s>
<s>kastanyetim</s>	<s>kastanyet</s>	<s>kastanyet</s>
<s>gecikiyorum</s>	<s>gecikiyoruz</s>	<s>gecikiyoruz</s>
<s>köylümüzden</s>	<s>köylülerinizden</s>	<s>köylülerinizden</s>
<s>kırdırmadın</s>	<s>kırdıracak</s>	<s>kırdıracak</s>
<s>gizlenmedin</s>	<s>gizlenirsiniz</s>	<s>gizlenirsiniz</s>
<s>papazınızda</s>	<s>papazlarınızda</s>	<s>papazlarınızda</s>
<s>balamozunun</s>	<s>balamozlarının</s>	<s>balamozlarının</s>
<s>smileyimden</s>	<s>smileyin</s>	<s>smileyin</s>
<s>gitarlardan</s>	<s>gitarların</s>	<s>gitarların</s>
<s>atlarınızda</s>	<s>atlardan</s>	<s>atlardan</s>
<s>madamımızda</s>	<s>madamlarını</s>	<s>madamlarını</s>
<s>mihrabımıza</s>	<s>mihraplarınızdan</s>	<s>mihraplarınızdan</s>
<s>fizikçisini</s>	<s>fizikçilerini</s>	<s>fizikçilerini</s>
<s>fizikçinize</s>	<s>fizikçilerim</s>	<s>fizikçilerim</s>
<s>hurilerimiz</s>	<s>hurilerdiniz</s>	<s>hurilerdiniz</s>
<s>hastalandım</s>	<s>hastalanmaz</s>	<s>hastalanmaz</s>
<s>dedikodumda</s>	<s>dedikoduları</s>	<s>dedikoduları</s>
<s>hırsızlarız</s>	<s>hırsızlarımıza</s>	<s>hırsızlarımıza</s>
<s>acıkıyorsun</s>	<s>acıktık</s>	<s>acıktık</s>
<s>dildomuzdan</s>	<s>dildolarına</s>	<s>dildolarına</s>
<s>sunaklarımı</s>	<s>sunaklarında</s>	<s>sunaklarında</s>
<s>yaratmamdan</s>	<s>yaratma</s>	<s>yaratma</s>
<s>ilerilerine</s>	<s>ilerim</s>	<s>ilerim</s>
<s>ölüyordunuz</s>	<s>ölmüyorduk</s>	<s>ölmüyorduk</s>
<s>eşiklerimiz</s>	<s>eşikmişler</s>	<s>eşikmişler</s>
<s>aldıracağız</s>	<s>aldırıyordum</s>	<s>aldırıyordum</s>
<s>bloglarının</s>	<s>blogunuzdan</s>	<s>blogunuzdan</s>
<s>bakireliğin</s>	<s>bakirliğe</s>	<s>bakireliğe</s>
<s>onarmıyoruz</s>	<s>onarmıyordular</s>	<s>onarmıyordular</s>
<s>sayımlarımı</s>	<s>sayımınızdan</s>	<s>sayımınızdan</s>
<s>seçmesinden</s>	<s>seçmelerimizden</s>	<s>seçmelerimizden</s>
