otuz bircimiz	otuz birciNNOMSGPSS1P
avukatımda	avukatNLOCSGPSS1S
eğmeyecek miyiz?	eğmekVIND1PLFUTNEGINTR
bedevilerinin	bedeviNGENPLPSS3S
âşık	âşıkNNOMSG
devlermişiz	devNLGSPEC11PPLLGSPEC2
duymamalarımızın	duymamaNGENPLPSS1P
yaklaşacak mıyım?	yaklaşmakVIND1SGFUTPOSINTR
vurmuyor muydum?	vurmakVIND1SGPSTPROGNEGINTR
havadan karaya füzemin	havadan karaya füzeNGENSGPSS1S
Monakoluymuşlar	MonakoluNLGSPEC13PSGLGSPEC2
belirli integrallerime	belirli integralNDATPLPSS1S
kaplumbağa	kaplumbağaNNOMSG
bastırmanı	bastırmaNACCSGPSS2S
dürbünün	dürbünNGENSG
çiçen	çiçeNNOMSGPSS2S
evleniyorum	evlenmekVIND1SGPRSPROGPOSDECL
Trabzon hurmalarından	Trabzon hurmasıNABLPL
tek sayınıza	tek sayıNDATSGPSS2P
leşleri	leşNNOMSGPSS3P
açmayacak mıyız?	açmakVIND1PLFUTNEGINTR
bellerinin	belNGENPLPSS3S
seçmeniniz	seçmenNNOMSGPSS2P
yeniliyordum	yenilmekVIND1SGPSTPROGPOSDECL
cikletlerinin	cikletNGENPLPSS2S
canlanmamıyoruz	canlanmamakVIND1PLPRSPROGNEGDECL
çiçelerim	çiçeNNOMPLPSS1S
çok yüksek frekansıma	çok yüksek frekansNDATSGPSS1S
öpücükler	öpücükNNOMPL
duraklarım	durakNNOMPLPSS1S
yendiriyor	yendirmekVIND3SGPRSPROGPOSDECL
anafazlarımı	anafazNACCPLPSS1S
üçlümüzde	üçlüNLOCSGPSS1P
mobilyalarını	mobilyaNACCPLPSS3S
sağduyunda	sağduyuNLOCSGPSS2S
sökersin	sökmekVIND2SGPRSPOSDECL
halklar	halkNNOMPL
kuğularmış	kuğuNLGSPEC13PPLLGSPEC2
mali yardımımın	mali yardımNGENSGPSS1S
eğlencelerinizi	eğlenceNACCPLPSS2P
bataryalarına	bataryaNDATSGPSS3P
emmilerinin	emmiNGENPLPSS3S
bulunmayacağız	bulunmakVIND1PLFUTNEGDECL
yanardağlarının	yanardağNGENPLPSS2S
sonsuzluklarımıza	sonsuzlukNDATPLPSS1P
sökmüyordu	sökmekVIND3SGPSTPROGNEGDECL
düzenlenebilirliklerinden	düzenlenebilirlikNABLSGPSS3P
girersiniz	girmekVIND2PLPRSPOSDECL
kibritleri	kibritNNOMSGPSS3P
akşamdan kalmalarmış	akşamdan kalmaNLGSPEC13SPLLGSPEC2
kusuyorlar mıydı?	kusmakVIND3PLPSTPROGPOSINTR
vedalarınızda	vedaNLOCPLPSS2P
yağmurlarımı	yağmurNACCPLPSS1S
ojenize	ojeNDATSGPSS2P
paşamız	paşaNNOMSGPSS1P
hahamlardı	hahamNLGSPEC13PPLPST
yetersizliğim	yetersizlikNNOMSGPSS1S
şemsiyede	şemsiyeNLOCSG
abartmadılar mı?	abartmakVIND3PLPSTNEGINTR
heteroseksüelleri	heteroseksüelNNOMSGPSS3P
aktörünü	aktörNACCSGPSS2S
ilginç miydiniz?	ilginçADJLGSPEC1PST2PLPOSINTR
yalancılığından	yalancılıkNABLSGPSS3S
cibinimizin	cibinNGENSGPSS1P
netimi	netNACCSGPSS1S
uçaklarımızdan	uçakNABLPLPSS1P
sattık mı?	satmakVIND1PLPSTPOSINTR
kalamarınızı	kalamarNACCSGPSS2P
saksafonlarının	saksafonNGENPLPSS2S
değişecekler	değişmekVIND3PLFUTPOSDECL
filozofunu	filozofNACCSGPSS2S
standımıza	stantNDATSGPSS1P
cinsel tercihinden	cinsel tercihNABLSGPSS2S
sevişir misiniz?	sevişmekVIND2PLPRSPOSINTR
enjeksiyonınızda	enjeksiyonNLOCSGPSS2P
çökertir mi?	çökertmekVIND3SGPRSPOSINTR
protestolarında	protestoNLOCSGPSS3P
anmıyordum	anmakVIND1SGPSTPROGNEGDECL
şehvetimizin	şehvetNGENSGPSS1P
hava atmıyordu	hava atmakVIND3SGPSTPROGNEGDECL
travmalarımıza	travmaNDATPLPSS1P
sürülmüyor musun?	sürülmekVIND2SGPRSPROGNEGINTR
şamarlamazsın	şamarlamakVIND2SGPRSNEGDECL
kasları	kasNACCPL
yoğurtçuyu	yoğurtçuNACCSG
sevdalinkalarından	sevdalinkaNABLPLPSS2S
otellerinde	otelNLOCPLPSS3S
miyolojilerde	miyolojiNLOCPL
ebeler	ebeNNOMPL
mükemmel miyim?	mükemmelADJLGSPEC1PRS1SGPOSINTR
eziyetlerinde	eziyetNLOCPLPSS3S
kaynaçları	kaynaçNNOMSGPSS3P
analitik geometrilerinize	analitik geometriNDATPLPSS2P
oynatıcılarının	oynatıcıNGENPLPSS3P
optimizasyondan	optimizasyonNABLSG
kasıklarımızın	kasıkNGENPLPSS1P
sagalarımızın	sagaNGENPLPSS1P
gözlemde	gözlemNLOCSG
cüce gezegenlerine	cüce gezegenNDATPLPSS2S
koruyucular	koruyucuNNOMPL
integral	integralNNOMSG
yaralardık	yaraNLGSPEC11PPLPST
çandan	çanNABLSG
hızlı mı?	hızlıADJLGSPEC1PRS3SGPOSINTR
zamanlardan	zamanNABLPL
vapurları	vapurNNOMSGPSS3P
bahçıvanında	bahçıvanNLOCSGPSS3S
canlandırtıyordum	canlandırtmakVIND1SGPSTPROGPOSDECL
kazmanıza	kazmaNDATSGPSS2P
kumalarında	kumaNLOCPLPSS3P
eziyor musun?	ezmekVIND2SGPRSPROGPOSINTR
gitarlarına	gitarNDATSGPSS3P
bayılmalarımın	bayılmaNGENPLPSS1S
yedeklersin	yedekNLGSPEC12SPLPRS
büyümüyorlar	büyümekVIND3PLPRSPROGNEGDECL
sürtüklüklerine	sürtüklükNDATPLPSS3S
yörüngelerine	yörüngeNDATSGPSS3P
şirketlerinden	şirketNABLPLPSS3S
plağımızdan	plakNABLSGPSS1P
tayfalarına	tayfaNDATPLPSS3P
örnekmişsin	örnekNLGSPEC12SSGLGSPEC2
rehinesinden	rehineNABLSGPSS3S
kötüleştirdik mi?	kötüleştirmekVIND1PLPSTPOSINTR
kır pidesinin	kır pidesiNGENSG
evcil sineklerinizden	evcil sinekNABLPLPSS2P
iğnemden	iğneNABLSGPSS1S
integrallerden	integralNABLPL
ilköğretimlerini	ilköğretimNACCSGPSS3P
çoğullarımda	çoğulNLOCPLPSS1S
fulyaları	fulyaNNOMPLPSS3P
kukudan	kukuNABLSG
uyruğuna	uyrukNDATSGPSS3S
sunucumuza	sunucuNDATSGPSS1P
toplamadık mı?	toplamakVIND1PLPSTNEGINTR
sayfalarım	sayfaNLGSPEC11SPLPRS
dalgıcınızda	dalgıçNLOCSGPSS2P
sığıyor muydum?	sığmakVIND1SGPSTPROGPOSINTR
ışıklarına	ışıkNDATPLPSS2S
cibiliyetlerimden	cibiliyetNABLPLPSS1S
harçlığın	harçlıkNNOMSGPSS2S
vademin	vadeNGENSGPSS1S
mantıklı değildiler	mantıklıADJLGSPEC1PST3PLNEGDECL
monoloğu	monologNNOMSGPSS3S
simitlerine	simitNDATSGPSS3P
katılaşacaklar	katılaşmakVIND3PLFUTPOSDECL
ispatlayacaklar	ispatlamakVIND3PLFUTPOSDECL
vilayetimizden	vilayetNABLSGPSS1P
şahlarımızda	şahNLOCPLPSS1P
cinsel tercihlerimde	cinsel tercihNLOCPLPSS1S
çökeltiye	çökeltiNDATSG
gömleği	gömlekNACCSG
totemcilerinde	totemciNLOCSGPSS3P
yapbozlarında	yapbozNLOCSGPSS3P
dağını	dağNACCSGPSS2S
ikazlarını	ikazNACCPLPSS3S
ettirmediler mi?	ettirmekVIND3PLPSTNEGINTR
Belgratlılarımdan	BelgratlıNABLPLPSS1S
mısırlarının	mısırNGENPLPSS3S
köylünde	köylüNLOCSGPSS2S
tıraş oldu	tıraş olmakVIND3SGPSTPOSDECL
istemcilermiş	istemciNLGSPEC13SPLLGSPEC2
dudağında	dudakNLOCSGPSS2S
sempozyumlarında	sempozyumNLOCPLPSS2S
şeylerinizi	şeyNACCPLPSS2P
ziyaretçilermiş	ziyaretçiNLGSPEC13SPLLGSPEC2
kestirmene	kestirmeNDATSGPSS2S
dünürlerimi	dünürNACCPLPSS1S
yayalarından	yayaNABLPLPSS3P
isimsiz sınıfınızdan	isimsiz sınıfNABLSGPSS2P
dizemimi	dizemNACCSGPSS1S
saksocuları	saksocuNNOMSGPSS3P
damatlardı	damatNLGSPEC13PPLPST
güneş dışı gezegenlerinizi	güneş dışı gezegenNACCPLPSS2P
seyahatlerine	seyahatNDATSGPSS3P
krizleri	krizNNOMPLPSS3P
baldızımızda	baldızNLOCSGPSS1P
bükülmez miyiz?	bükülmekVIND1PLPRSNEGINTR
sarılır mı?	sarılmakVIND3SGPRSPOSINTR
sargılarsın	sargıNLGSPEC12SPLPRS
bisikletimde	bisikletNLOCSGPSS1S
meşelerimizi	meşeNACCPLPSS1P
tabanları	tabanNNOMSGPSS3P
düzmüyorlar	düzmekVIND3PLPRSPROGNEGDECL
dirilmez misiniz?	dirilmekVIND2PLPRSNEGINTR
hür yazılımımıza	hür yazılımNDATSGPSS1P
zavarımı	zavarNACCSGPSS1S
attırmıyor muydum?	attırmakVIND1SGPSTPROGNEGINTR
ambulanslardan	ambulansNABLPL
kâinatlarına	kâinatNDATPLPSS3P
videonuza	videoNDATSGPSS2P
ürkmeyeceksiniz	ürkmekVIND2PLFUTNEGDECL
içliklerinize	içlikNDATPLPSS2P
edebiyattan	edebiyatNABLSG
ilklendirecek misin?	ilklendirmekVIND2SGFUTPOSINTR
memleketinizi	memleketNACCSGPSS2P
sanatlarında	sanatNLOCSGPSS3P
ispatlayacaksın	ispatlamakVIND2SGFUTPOSDECL
görüşünüzü	görüşNACCSGPSS2P
acımazsınız	acımakVIND2PLPRSNEGDECL
parçalanmayacak mıyım?	parçalanmakVIND1SGFUTNEGINTR
zammında	zamNLOCSGPSS3S
genel kültürlerimizde	genel kültürNLOCPLPSS1P
kalkmıyorduk	kalkmakVIND1PLPSTPROGNEGDECL
birincil anahtarlarda	birincil anahtarNLOCPL
sumaklarından	sumakNABLPLPSS2S
omurgaları	omurgaNACCPL
babalık testinde	babalık testiNLOCSG
örmüyorlar	örmekVIND3PLPRSPROGNEGDECL
işitiyor mu?	işitmekVIND3SGPRSPROGPOSINTR
abajurcuların	abajurcuNNOMPLPSS2S
hormonal sistemimin	hormonal sistemNGENSGPSS1S
postu deldirdik	postu deldirmekVIND1PLPSTPOSDECL
bakıcılarının	bakıcıNGENPLPSS2S
ünlülerden	ünlüNABLPL
taklitçisine	taklitçiNDATSGPSS3S
âşık oluyor	âşık olmakVIND3SGPRSPROGPOSDECL
yontmayacaksınız	yontmakVIND2PLFUTNEGDECL
islerde	isNLOCPL
değişmiyor muydu?	değişmekVIND3SGPSTPROGNEGINTR
lehçelerimizde	lehçeNLOCPLPSS1P
kreplerini	krepNACCPLPSS2S
ittirilmedi mi?	ittirilmekVIND3SGPSTNEGINTR
güvercininden	güvercinNABLSGPSS2S
lenfatik sistemlerinize	lenfatik sistemNDATPLPSS2P
yayımcılıklara	yayımcılıkNDATPL
papaz olmuyoruz	papaz olmakVIND1PLPRSPROGNEGDECL
aşık olmayacaksınız	aşık olmakVIND2PLFUTNEGDECL
çığırtkanlıklarda	çığırtkanlıkNLOCPL
çileklerimizden	çilekNABLPLPSS1P
yetiştirmedi mi?	yetiştirmekVIND3SGPSTNEGINTR
aktif değilmişim	aktifADJLGSPEC1LGSPEC21SGNEGDECL
ropdöşambırının	ropdöşambırNGENSGPSS2S
eğlencelerinde	eğlenceNLOCPLPSS3S
cartayı çekecek mi?	cartayı çekmekVIND3SGFUTPOSINTR
tabansızlardınız	tabansızNLGSPEC12PPLPST
kürkesinde	kürkeNLOCSGPSS3S
köygöçürenlerdin	köygöçürenNLGSPEC12SPLPST
terzilerimizden	terziNABLPLPSS1P
Tiranlının	TiranlıNGENSG
horluyor muydunuz?	horlamakVIND2PLPSTPROGPOSINTR
lolipoplarımızın	lolipopNGENPLPSS1P
sosisimi	sosisNACCSGPSS1S
üzgün değil miydi?	üzgünADJLGSPEC1PST3SGNEGINTR
peynirli pastalarım	peynirli pastaNNOMPLPSS1S
öneminizde	önemNLOCSGPSS2P
geçmeyecek misiniz?	geçmekVIND2PLFUTNEGINTR
kapı yaptılar	kapı yapmakVIND3PLPSTPOSDECL
isyanında	isyanNLOCSGPSS2S
kireçleri	kireçNACCPL
bisikletlerinden	bisikletNABLPLPSS2S
kafes bileşiklerimi	kafes bileşikNACCPLPSS1S
mühimlikte	mühimlikNLOCSG
daldırtacak mıyım?	daldırtmakVIND1SGFUTPOSINTR
ağaçkakanlarına	ağaçkakanNDATSGPSS3P
kovmadılar	kovmakVIND3PLPSTNEGDECL
uğratılmazlar mı?	uğratılmakVIND3PLPRSNEGINTR
zağarımızın	zağarNGENSGPSS1P
forumdaşımda	forumdaşNLOCSGPSS1S
kelime oyunlarının	kelime oyunuNGENPL
aktrisinden	aktrisNABLSGPSS2S
konjenital defektlerimde	konjenital defektNLOCPLPSS1S
jenerasyonunda	jenerasyonNLOCSGPSS2S
yıkamıyor musunuz?	yıkamakVIND2PLPRSPROGNEGINTR
belediyelerinden	belediyeNABLSGPSS3P
güreşçiydiniz	güreşçiNLGSPEC12PSGPST
dış ağının	dış ağNGENSGPSS2S
etkiliyorlar	etkilemekVIND3PLPRSPROGPOSDECL
radyoaktif parçalanmayız	radyoaktif parçalanmaNLGSPEC11PSGPRS
işitti	işitmekVIND3SGPSTPOSDECL
öğrenir misin?	öğrenmekVIND2SGPRSPOSINTR
mısırları	mısırNACCPL
fındıklarmışız	fındıkNLGSPEC11PPLLGSPEC2
eğmediniz	eğmekVIND2PLPSTNEGDECL
parçamdan	parçaNABLSGPSS1S
eğdin	eğmekVIND2SGPSTPOSDECL
gaydayı	gaydaNACCSG
güreşçisinden	güreşçiNABLSGPSS3S
ilerletmeyecek miyim?	ilerletmekVIND1SGFUTNEGINTR
kraliçe arıların	kraliçe arıNGENPL
bohçalarını	bohçaNACCPLPSS3P
işkencecilere	işkenceciNDATPL
bataryaları	bataryaNACCPL
düşey asimptotlarıma	düşey asimptotNDATPLPSS1S
imamı	imamNNOMSGPSS3S
programlanmayacak mıyız?	programlanmakVIND1PLFUTNEGINTR
satıyordu	satmakVIND3SGPSTPROGPOSDECL
sürümümüzün	sürümNGENSGPSS1P
terapist	terapistNNOMSG
çekicimizi	çekiçNACCSGPSS1P
kaltağımızda	kaltakNLOCSGPSS1P
şamiseninizi	şamisenNACCSGPSS2P
dizimiz	diziNNOMSGPSS1P
çatmayacak mısın?	çatmakVIND2SGFUTNEGINTR
müellifde	müellifNLOCSG
kıymetlerimizden	kıymetNABLPLPSS1P
birincil anahtarından	birincil anahtarNABLSGPSS2S
mikroişlemcilerini	mikroişlemciNACCPLPSS2S
sürtüyorsun	sürtmekVIND2SGPRSPROGPOSDECL
mantıklarından	mantıkNABLPLPSS3S
sınırımızda	sınırNLOCSGPSS1P
tasamızda	tasaNLOCSGPSS1P
gürzümüzde	gürzNLOCSGPSS1P
aletimize	aletNDATSGPSS1P
ilaçlarımda	ilaçNLOCPLPSS1S
ritmimizi	ritmNACCSGPSS1P
peygamber develerinin	peygamber devesiNGENPL
kaynacımızın	kaynaçNGENSGPSS1P
bohçanız	bohçaNNOMSGPSS2P
korunmasını	korunmaNACCSGPSS3S
tabiyetinden	tabiyetNABLSGPSS2S
objelermişsiniz	objeNLGSPEC12PPLLGSPEC2
primitif değildiler	primitifADJLGSPEC1PST3PLNEGDECL
kenarlarımın	kenarNGENPLPSS1S
ibneliğin	ibnelikNNOMSGPSS2S
soğuyacağım	soğumakVIND1SGFUTPOSDECL
meninde	meniNLOCSGPSS2S
kurutur muyum?	kurutmakVIND1SGPRSPOSINTR
alyanına	alyanNDATSGPSS3S
âlimlerinin	âlimNGENPLPSS3P
termometrelerin	termometreNNOMPLPSS2S
süsünüzde	süsNLOCSGPSS2P
dövüşüyordunuz	dövüşmekVIND2PLPSTPROGPOSDECL
kakıyorsun	kakmakVIND2SGPRSPROGPOSDECL
oyuncularsınız	oyuncuNLGSPEC12PPLPRS
geçmişinizden	geçmişNABLSGPSS2P
yaratmadın	yaratmakVIND2SGPSTNEGDECL
osurmaz mısınız?	osurmakVIND2PLPRSNEGINTR
cininizin	cinNGENSGPSS2P
sürtmüyor mu?	sürtmekVIND3SGPRSPROGNEGINTR
salammışım	salamNLGSPEC11SSGLGSPEC2
ısınmadık	ısınmakVIND1PLPSTNEGDECL
abadinize	abadiNDATSGPSS2P
tekil kalıbımın	tekil kalıpNGENSGPSS1S
iğrendim	iğrenmekVIND1SGPSTPOSDECL
çekmecelerinde	çekmeceNLOCPLPSS2S
biftekkeklerde	biftekkekNLOCPL
gaflet	gafletNNOMSG
anahtar sözlerine	anahtar sözNDATPLPSS3P
gazellerden	gazelNABLPL
çerçiyiz	çerçiNLGSPEC11PSGPRS
sonuçmuş	sonuçNLGSPEC13SSGLGSPEC2
sağrılar	sağrıNNOMPL
monarşilerde	monarşiNLOCPL
kapıyorsun	kapmakVIND2SGPRSPROGPOSDECL
işkencelerine	işkenceNDATPLPSS2S
köçeğimizin	köçekNGENSGPSS1P
yağıştılar	yağışNLGSPEC13PSGPST
ropdöşambırlarından	ropdöşambırNABLSGPSS3P
artçı sarsıntının	artçı sarsıntıNGENSG
mükemmel değil miydiniz?	mükemmelADJLGSPEC1PST2PLNEGINTR
dalgalandırmıyor musunuz?	dalgalandırmakVIND2PLPRSPROGNEGINTR
ağaç çivilersiniz	ağaç çiviNLGSPEC12PPLPRS
artçı şokunuzda	artçı şokNLOCSGPSS2P
isimsiz değilsiniz	isimsizADJLGSPEC1PRS2PLNEGDECL
canlandırmıyorsunuz	canlandırmamakVIND2PLPRSPROGNEGDECL
fotoğraflarından	fotoğrafNABLPLPSS2S
planetleri	planetNACCPL
devinimime	devinimNDATSGPSS1S
ağda yapmıyor musunuz?	ağda yapmakVIND2PLPRSPROGNEGINTR
mancınığınızdan	mancınıkNABLSGPSS2P
sonsuzlarında	sonsuzNLOCPLPSS3P
laçomdan	laçoNABLSGPSS1S
avcı sineklerinin	avcı sinekNGENPLPSS3S
ağaç çivilerinde	ağaç çiviNLOCPLPSS3S
anahtar kelimeleriniz	anahtar kelimeNNOMPLPSS2P
depresif miymişim?	depresifADJLGSPEC1LGSPEC21SGPOSINTR
kuyruklarımızda	kuyrukNLOCPLPSS1P
narkotiklerden	narkotikNABLPL
yıpranmazlar mı?	yıpranmakVIND3PLPRSNEGINTR
dayamadınız	dayamakVIND2PLPSTNEGDECL
büyüleyici değildik	büyüleyiciADJLGSPEC1PST1PLNEGDECL
polisine	polisNDATSGPSS2S
amcasından	amcaNABLSGPSS3S
asalardan	asaNABLPL
palikaryaydı	palikaryaNLGSPEC13SSGPST
erneklerime	ernekNDATPLPSS1S
sonuçlarından	sonuçNABLPLPSS3S
öpücüklerinden	öpücükNABLPLPSS3S
çöpçatanlığında	çöpçatanlıkNLOCSGPSS3S
delirmem	delirmekVIND1SGPRSNEGDECL
isimsizmişiz	isimsizADJLGSPEC1LGSPEC21PLPOSDECL
ejderhasınız	ejderhaNLGSPEC12PSGPRS
öğretilerimde	öğretiNLOCPLPSS1S
ağda yapmaz mı?	ağda yapmakVIND3SGPRSNEGINTR
beziyor musunuz?	bezmekVIND2PLPRSPROGPOSINTR
futbolcularının	futbolcuNGENPLPSS3P
bedeviydiniz	bedeviNLGSPEC12PSGPST
ettirmiyordu	ettirmekVIND3SGPSTPROGNEGDECL
yıldırımlarımız	yıldırımNNOMPLPSS1P
battaniyelerinize	battaniyeNDATPLPSS2P
çıngırağı çekiyorduk	çıngırağı çekmekVIND1PLPSTPROGPOSDECL
aseksüellerinin	aseksüelNGENPLPSS2S
odacılarımdan	odacıNABLPLPSS1S
yağmurdan	yağmurNABLSG
kalıbı değiştiriyor muydum?	kalıbı değiştirmekVIND1SGPSTPROGPOSINTR
arpalarının	arpaNGENSGPSS3P
şamarladım mı?	şamarlamakVIND1SGPSTPOSINTR
yetkili sunucularmış	yetkili sunucuNLGSPEC13PPLLGSPEC2
maçlarını	maçNACCSGPSS3P
karnımız	karınNNOMSGPSS1P
teorisinde	teoriNLOCSGPSS3S
küllerinizin	külNGENPLPSS2P
mali yardımından	mali yardımNABLSGPSS3S
sivrisineğimiz	sivrisinekNNOMSGPSS1P
adsız sınıflarımın	adsız sınıfNGENPLPSS1S
bohça	bohçaNLGSPEC13SSGPRS
hastanelerimizde	hastaneNLOCPLPSS1P
aşıyordunuz	aşmakVIND2PLPSTPROGPOSDECL
koşucularından	koşucuNABLPLPSS3P
prenslerinden	prensNABLPLPSS2S
ılımazsın	ılımakVIND2SGPRSNEGDECL
ıslık çalıyordum	ıslık çalmakVIND1SGPSTPROGPOSDECL
telaffuzuna	telaffuzNDATSGPSS3S
devi	devNACCSG
karakolunuzda	karakolNLOCSGPSS2P
tarifim	tarifNNOMSGPSS1S
kümesimin	kümesNGENSGPSS1S
uzunluklarından	uzunlukNABLPLPSS2S
nefes aldırmıyordular	nefes aldırmakVIND3PLPSTPROGNEGDECL
dalaklarını	dalakNACCPLPSS3P
makyaj yapmazlar mı?	makyaj yapmakVIND3PLPRSNEGINTR
yufkalarını	yufkaNACCPLPSS3S
negatif sayımızın	negatif sayıNGENSGPSS1P
yetmiyor musun?	yetmekVIND2SGPRSPROGNEGINTR
çekmecemde	çekmeceNLOCSGPSS1S
kıyar mısın?	kıymakVIND2SGPRSPOSINTR
endoplazmik retikulumlarımda	endoplazmik retikulumNLOCPLPSS1S
kolikalarınızda	kolikaNLOCPLPSS2P
müezzinlerin	müezzinNNOMPLPSS2S
gözden kayboluyoruz	gözden kaybolmakVIND1PLPRSPROGPOSDECL
elçilerimizden	elçiNABLPLPSS1P
dürecekler mi?	dürmekVIND3PLFUTPOSINTR
âşığından	âşıkNABLSGPSS2S
çalıyor	çalmakVIND3SGPRSPROGPOSDECL
fındık kırmayacaksın	fındık kırmakVIND2SGFUTNEGDECL
bekletirler mi?	bekletmekVIND3PLPRSPOSINTR
rakamınızı	rakamNACCSGPSS2P
telaffuzlarım	telaffuzNNOMPLPSS1S
balıktık	balıkNLGSPEC11PSGPST
adsız sınıfımızın	adsız sınıfNGENSGPSS1P
hatanın	hataNGENSGPSS2S
paylaşımlarına	paylaşımNDATPLPSS3P
şemsiyeler	şemsiyeNLGSPEC13SPLPRS
derneklerimize	dernekNDATPLPSS1P
canlanmazız	canlanmamakVIND1PLPRSPOSDECL
sayımları	sayımNNOMPLPSS3P
dünürünüze	dünürNDATSGPSS2P
hıçkırıklarına	hıçkırıkNDATPLPSS3P
sessizliğin	sessizlikNNOMSGPSS2S
insanlıklardan	insanlıkNABLPL
huzuruz	huzurNLGSPEC11PSGPRS
sorumluluğunuza	sorumlulukNDATSGPSS2P
çobanlarına	çobanNDATPLPSS2S
babacan değildin	babacanADJLGSPEC1PST2SGNEGDECL
fotoğraf çekmiyordun	fotoğraf çekmekVIND2SGPSTPROGNEGDECL
sindirmiyorlar mıydı?	sindirmekVIND3PLPSTPROGNEGINTR
mümessilliğinizi	mümessillikNACCSGPSS2P
nosyonlarında	nosyonNLOCPLPSS3S
tuzlu değiller mi?	tuzluADJLGSPEC1PRS3PLNEGINTR
başçıkları	başçıkNNOMSGPSS3P
bohçayız	bohçaNLGSPEC11PSGPRS
bükmeme	bükmeNDATSGPSS1S
mermime	mermiNDATSGPSS1S
böbreğinize	böbrekNDATSGPSS2P
yanıt verdi	yanıt vermekVIND3SGPSTPOSDECL
pastalara	pastaNDATPL
heceydiler	heceNLGSPEC13PSGPST
yeterliklerdi	yeterlikNLGSPEC13PPLPST
kefirlerimiz	kefirNNOMPLPSS1P
kahramanlardan	kahramanNABLPL
kuyruğu titretmiyor muydu?	kuyruğu titretmekVIND3SGPSTPROGNEGINTR
oynamıyoruz	oynamakVIND1PLPRSPROGNEGDECL
tükenmediler mi?	tükenmekVIND3PLPSTNEGINTR
gazete	gazeteNNOMSG
bikinilerine	bikiniNDATPLPSS3P
günahkârımızda	günahkârNLOCSGPSS1P
mesuliyetleri	mesuliyetNACCPL
köçeklerinden	köçekNABLSGPSS3P
çıldırtmaz mıyım?	çıldırtmakVIND1SGPRSNEGINTR
kürer misin?	küremekVIND2SGPRSPOSINTR
geçiniyor musunuz?	geçinmekVIND2PLPRSPROGPOSINTR
satın alacağım	satın almakVIND1SGFUTPOSDECL
ölülerinize	ölüNDATPLPSS2P
patrondu	patronNLGSPEC13SSGPST
ayvazında	ayvazNLOCSGPSS2S
kastanyetlerinden	kastanyetNABLPLPSS2S
alışmıyor mu?	alışmakVIND3SGPRSPROGNEGINTR
altdilimizde	altdilNLOCSGPSS1P
kaşlarına	kaşNDATPLPSS2S
kullanımımızın	kullanımNGENSGPSS1P
tosbağalarından	tosbağaNABLSGPSS3P
plektruma	plektrumNDATSG
tuttunuz	tutmakVIND2PLPSTPOSDECL
kirpisiniz	kirpiNLGSPEC12PSGPRS
dervişimi	dervişNACCSGPSS1S
havlu atar	havlu atmakVIND3SGPRSPOSDECL
takvimmişiz	takvimNLGSPEC11PSGLGSPEC2
erkecelimizde	erkecelNLOCSGPSS1P
ümitli değil miydim?	ümitliADJLGSPEC1PST1SGNEGINTR
hiperbollerimizi	hiperbolNACCPLPSS1P
salamlarına	salamNDATSGPSS3P
fagofobilere	fagofobiNDATPL
tabansızlarınız	tabansızNNOMPLPSS2P
güreşçiymişsiniz	güreşçiNLGSPEC12PSGLGSPEC2
hareketliliğiniz	hareketlilikNNOMSGPSS2P
buharlaşacak mıyız?	buharlaşmakVIND1PLFUTPOSINTR
iblislerde	iblisNLOCPL
kasaplarda	kasapNLOCPL
anasızlıklarında	anasızlıkNLOCPLPSS3S
satın alacak	satın almakVIND3SGFUTPOSDECL
coşkuluydu	coşkuluADJLGSPEC1PST3SGPOSDECL
işletiminizde	işletimNLOCSGPSS2P
adsız değil miydiler?	adsızADJLGSPEC1PST3PLNEGINTR
aşiretten	aşiretNABLSG
külotlu çorabımızda	külotlu çorapNLOCSGPSS1P
mali yardımın	mali yardımNGENSG
korselerin	korseNNOMPLPSS2S
ikazlarımda	ikazNLOCPLPSS1S
dolap çevirmediler	dolap çevirmekVIND3PLPSTNEGDECL
ustasını	ustaNACCSGPSS3S
çaplar	çapNLGSPEC13SPLPRS
volkanizmanıza	volkanizmaNDATSGPSS2P
satrançlarımızdan	satrançNABLPLPSS1P
almanak	almanakNNOMSG
kamerasından	kameraNABLSGPSS3S
leşmişsin	leşNLGSPEC12SSGLGSPEC2
tepmezsiniz	tepmekVIND2PLPRSNEGDECL
iffetimi	iffetNACCSGPSS1S
vampirimde	vampirNLOCSGPSS1S
acenteliklerden	acentelikNABLPL
en küçük ortak kat	en küçük ortak katNDATSGPSS3S
huzurundan	huzurNABLSGPSS3S
tükürür müyüz?	tükürmekVIND1PLPRSPOSINTR
komikleştin	komikleşmekVIND2SGPSTPOSDECL
akçaağaçların	akçaağaçNGENPL
bahçıvanlarınız	bahçıvanNNOMPLPSS2P
tabancalarında	tabancaNLOCPLPSS3S
bacaları	bacaNNOMPLPSS3P
yumurtalıklarının	yumurtalıkNGENPLPSS2S
atışmadım mı?	atışmakVIND1SGPSTNEGINTR
taklitçilerimden	taklitçiNABLPLPSS1S
madamıma	madamNDATSGPSS1S
etkilemiyordunuz	etkilemekVIND2PLPSTPROGNEGDECL
ön eklerinize	ön ekNDATPLPSS2P
bilişsel psikolojiler	bilişsel psikolojiNNOMPL
manivelandan	manivelaNABLSGPSS2S
öğrencilerinizi	öğrenciNACCPLPSS2P
elmamızdan	elmaNABLSGPSS1P
yıldırımlarda	yıldırımNLOCPL
hikâyelerden	hikâyeNABLPL
