rahatlattı	rahatla+Verb^DB+Verb+Caus+Pos+Past+A3sg
baltaladın	baltala+Verb+Pos+Past+A2sg
baltalanacaksın	baltala+Verb^DB+Verb+Pass+Pos+Fut+A2sg
kurtaracak	kurtar+Verb+Pos+Fut+A3sg
döndüler	dön+Verb+Pos+Past+A3pl
aldılar	al+Verb+Pos+Past+A3pl
gülmediler	gül+Verb+Neg+Past+A3pl
gülemediler	gül+Verb^DB+Verb+Able+Neg+Past+A3pl
başlarız	başla+Verb+Pos+Aor+A1pl
yetişiyormuş	yetiş+Verb+Pos+Prog1+Narr+A3sg
başlarsın	başla+Verb+Pos+Aor+A2sg
başlayabilir	başla+Verb+Pos^DB+Verb+Able+Aor+A3sg
biziz	biz+Pron+Pers+A1pl+Pnon+Nom^DB+Verb+Zero+Pres+A1pl
bizleriz	biz+Pron+Pers+A1pl+Pnon+Nom^DB+Verb+Zero+Pres+A1pl
başlayamayız	başla+Verb^DB+Verb+Able+Neg+Aor+A1pl
bizdik	biz+Pron+Pers+A1pl+Pnon+Nom^DB+Verb+Zero+Past+A1pl
kalacağız	kal+Verb+Pos+Fut+A1pl
yürüyeceğiz	yürü+Verb+Pos+Fut+A1pl
yürüyecek	yürü+Verb+Pos+Fut+A3sg
doğacaktır	doğ+Verb+Pos+Fut+A3sg+Cop
yürüdüler	yürü+Verb+Pos+Past+A3pl
çeviriyor	çevir+Verb+Pos+Prog1+A3sg
bakıyorlar	bak+Verb+Pos+Prog1+A3pl
biliyorsunuz	bile+Verb+Pos+Prog1+A2pl
yaşıyacağız	yaşıyacağ+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1pl
pişirilecek	piş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Fut+A3sg
yıkanacak	yıka+Verb^DB+Verb+Pass+Pos+Fut+A3sg
kullanırsın	kullan+Verb+Pos+Aor+A2sg
tenekesidir	teneke+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
sobadır	soba+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
alın	al+Verb+Pos+Imp+A2pl
gidilir	git+Verb^DB+Verb+Pass+Pos+Aor+A3sg
kalmasa	kal+Verb+Neg+Desr+A3sg
yarıyor	yara+Verb+Pos+Prog1+A3sg
oturabilir	otur+Verb+Pos^DB+Verb+Able+Aor+A3sg
yıllıktır	yıllık+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
bırakın	bırak+Verb+Pos+Imp+A2pl
alırsa	al+Verb+Pos+Aor+Cond+A3sg
alırım	al+Verb+Pos+Aor+A1sg
oturuyorlar	otur+Verb+Pos+Prog1+A3pl
çeviriyorlar	çevir+Verb+Pos+Prog1+A3pl
dalmış	dal+Verb+Pos+Narr+A3sg
babamındı	baba+Noun+A3sg+P1sg+Gen^DB+Verb+Zero+Past+A3sg
bakmıştım	bak+Verb+Pos+Narr+Past+A1sg
alsak	al+Verb+Pos+Desr+A1pl
zannetmem	zannet+Verb+Neg+Aor+A1sg
bırakırsak	bırak+Verb+Pos+Aor+Cond+A1pl
yaşarız	yaşa+Verb+Pos+Aor+A1pl
tanıyacağız	tanı+Verb+Pos+Fut+A1pl
gitsin	git+Verb+Pos+Imp+A3sg
gömdüler	göm+Verb+Pos+Past+A3pl
bilmezsek	bil+Verb+Neg+Aor+Cond+A1pl
yapacağız	yap+Verb+Pos+Fut+A1pl
anlasan	anla+Verb+Pos+Desr+A2sg
yaşayabilir	yaşa+Verb+Pos^DB+Verb+Able+Aor+A3sg
yaşayamazsın	yaşa+Verb^DB+Verb+Able+Neg+Aor+A2sg
demeksin	de+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2sg
gerginleşti	gergin+Adj^DB+Verb+Become+Pos+Past+A3sg
kalk	kalk+Verb+Pos+Imp+A2sg
seyrettiler	seyret+Verb+Pos+Past+A3pl
yüklediler	yükle+Verb+Pos+Past+A3pl
gittiler	git+Verb+Pos+Past+A3pl
kayboldular	kaybol+Verb+Pos+Past+A3pl
satılabilecek	sat+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
taşınabilir	taşı+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Aor+A3sg
tekmeledi	tekmele+Verb+Pos+Past+A3sg
gezdi	gez+Verb+Pos+Past+A3sg
böğürdü	böğür+Verb+Pos+Past+A3sg
kıvrıla	kıvır+Verb^DB+Verb+Pass+Pos+Opt+A3sg
domuzdu	domuz+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
yıkıyordu	yıka+Verb+Pos+Prog1+Past+A3sg
damlamaktaydı	damla+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Loc^DB+Verb+Zero+Past+A3sg
veriyorlarmış	ver+Verb+Pos+Prog1+A3pl+Narr
yazıyordu	yaz+Verb+Pos+Prog1+Past+A3sg
istiyorlar	iste+Verb+Pos+Prog1+A3pl
toplayacak	topla+Verb+Pos+Fut+A3sg
saklarız	sakla+Verb+Pos+Aor+A1pl
korkutuyor	kork+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
çık	çık+Verb+Pos+Imp+A2sg
etse	et+Verb+Pos+Desr+A3sg
karıştırırdı	karış+Verb^DB+Verb+Caus+Pos+Aor+Past+A3sg
yazıyor	yaz+Verb+Pos+Prog1+A3sg
derdi	de+Verb+Pos+Aor+Past+A3sg
binerdi	bin+Verb+Pos+Aor+Past+A3sg
uzaktaymış	uzak+Adj^DB+Noun+Zero+A3sg+Pnon+Loc^DB+Verb+Zero+Narr+A3sg
çizilmiş	çiz+Verb^DB+Verb+Pass+Pos+Narr+A3sg
geçecekmişiz	geç+Verb+Pos+Fut+Narr+A1pl
sürebilir	sür+Verb+Pos^DB+Verb+Able+Aor+A3sg
şanslıysak	şans+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Cond+A1pl
varabiliriz	var+Verb+Pos^DB+Verb+Able+Aor+A1pl
kaçırırsın	kaç+Verb^DB+Verb+Caus+Pos+Aor+A2sg
yap	yap+Verb+Pos+Imp+A2sg
yaparlarmış	yap+Verb+Pos+Aor+A3pl+Narr
yormuş	yor+Verb+Pos+Narr+A3sg
yakışmaz	yakış+Verb+Neg+Aor+A3sg
düşünmemelisin	düşün+Verb+Neg+Neces+A2sg
olmazmış	ol+Verb+Neg+Aor+Narr+A3sg
imiş	i+Verb+Pos+Narr+A3sg
otururlarmış	otur+Verb+Pos+Aor+A3pl+Narr
bulur	bul+Verb+Pos+Aor+A3sg
çalışırsak	çalış+Verb+Pos+Aor+Cond+A1pl
alabiliriz	al+Verb+Pos^DB+Verb+Able+Aor+A1pl
toplarlar	topla+Verb+Pos+Aor+A3pl
durmazlar	dur+Verb+Neg+Aor+A3pl
anlatmıyor	anla+Verb^DB+Verb+Caus+Neg+Prog1+A3sg
işitseydin	işit+Verb+Pos+Desr+Past+A2sg
sanırdın	san+Verb+Pos+Aor+Past+A2sg
çokmuş	çok+Postp+PCAbl^DB+Verb+Zero+Narr+A3sg
yaşıyorlar	yaşa+Verb+Pos+Prog1+A3pl
bulabiliyorlarmış	bul+Verb+Pos^DB+Verb+Able+Prog1+A3pl+Narr
azmış	az+Verb+Pos+Narr+A3sg
kötümsersin	kötümse+Verb+Pos+Aor+A2sg
katlansınlar	katlan+Verb+Pos+Imp+A3pl
söylesinler	söyle+Verb+Pos+Imp+A3pl
sarfedilir	sarfet+Verb^DB+Verb+Pass+Pos+Aor+A3sg
yerdir	yer+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A3sg+Cop
uyuyor	uy+Verb+Pos+Prog1+A3sg
uyur	uyu+Verb+Pos+Aor+A3sg
donattı	dona+Verb^DB+Verb+Caus+Pos+Past+A3sg
işitti	işit+Verb+Pos+Past+A3sg
çıkıyor	çık+Verb+Pos+Prog1+A3sg
gevezesiniz	geveze+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2pl
uyutmazlar	uyu+Verb^DB+Verb+Caus+Neg+Aor+A3pl
öğreneceksiniz	öğren+Verb+Pos+Fut+A2pl
zorla	zorla+Verb+Pos+Imp+A2sg
iliklenmiş	ilikle+Verb^DB+Verb+Pass+Pos+Narr+A3sg
unuttu	unut+Verb+Pos+Past+A3sg
kaşıdı	kaşı+Verb+Pos+Past+A3sg
buruşmuş	buruş+Verb+Pos+Narr+A3sg
şişmişti	şiş+Verb+Pos+Narr+Past+A3sg
zannettim	zannet+Verb+Pos+Past+A1sg
ilikleyeyim	ilikle+Verb+Pos+Opt+A1sg
istemedi	iste+Verb+Neg+Past+A3sg
ilikledi	ilikle+Verb+Pos+Past+A3sg
gidebilirsin	git+Verb+Pos^DB+Verb+Able+Aor+A2sg
söyleniyordu	söyle+Verb^DB+Verb+Pass+Pos+Prog1+Past+A3sg
huylanıyor	huylan+Verb+Pos+Prog1+A3sg
iliklerim	ilikle+Verb+Pos+Aor+A1sg
yasakmış	yasak+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Narr+A3sg
gösteririm	göster+Verb+Pos+Aor+A1sg
öğretecekler	öğret+Verb+Pos+Fut+A3pl
yaparım	yap+Verb+Pos+Aor+A1sg
karışamaz	karış+Verb^DB+Verb+Able+Neg+Aor+A3sg
huysuzlaşıyor	huysuz+Adj^DB+Verb+Become+Pos+Prog1+A3sg
vurmuş	vur+Verb+Pos+Narr+A3sg
çıkıyoruz	çık+Verb+Pos+Prog1+A1pl
sarkmış	sark+Verb+Pos+Narr+A3sg
alacağım	al+Verb+Pos+Fut+A1sg
dolduracağım	dol+Verb^DB+Verb+Caus+Pos+Fut+A1sg
oturacağım	otur+Verb+Pos+Fut+A1sg
ezeceğim	ez+Verb+Pos+Fut+A1sg
akacak	ak+Verb+Pos+Fut+A3sg
yaşasa	yaşa+Verb+Pos+Desr+A3sg
üstündeydin	üst+Noun+A3sg+P3sg+Loc^DB+Verb+Zero+Past+A2sg
öyleydim	öyle+Adj^DB+Verb+Zero+Past+A1sg
öyleyim	öyle+Adj^DB+Verb+Zero+Pres+A1sg
alamadım	al+Verb^DB+Verb+Able+Neg+Past+A1sg
hoşlanmazdı	hoşlan+Verb+Neg+Aor+Past+A3sg
tüydü	tüy+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
geçirsem	geç+Verb^DB+Verb+Caus+Pos+Desr+A1sg
bulsam	bul+Verb+Pos+Desr+A1sg
yumurtladı	yumurtla+Verb+Pos+Past+A3sg
büyütüyor	büyü+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
girdim	gir+Verb+Pos+Past+A1sg
içiyordu	iç+Verb+Pos+Prog1+Past+A3sg
karşıladı	karşıla+Verb+Pos+Past+A3sg
görmemiştim	gör+Verb+Neg+Narr+Past+A1sg
kapalıydı	kapalı+Adj^DB+Verb+Zero+Past+A3sg
salladım	salla+Verb+Pos+Past+A1sg
oturmam	otur+Verb+Neg+Aor+A1sg
oturdum	otur+Verb+Pos+Past+A1sg
yönelmiş	yönel+Verb+Pos+Narr+A3sg
ilginçti	ilginç+Adj^DB+Verb+Zero+Past+A3sg
bahsediyordunuz	bahset+Verb+Pos+Prog1+Past+A2pl
içerdiniz	iç+Verb+Pos+Aor+Past+A2pl
adetim	adet+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
papazıdır	papaz+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Pres+A3sg+Cop
bağlamıştı	bağla+Verb+Pos+Narr+Past+A3sg
yaşıyor	yaşa+Verb+Pos+Prog1+A3sg
bulamıyoruz	bul+Verb^DB+Verb+Able+Neg+Prog1+A1pl
hatırlar	hatırla+Verb+Pos+Aor+A3sg
düştünüz	düş+Verb+Pos+Past+A2pl
cevapladı	cevapla+Verb+Pos+Past+A3sg
bilirsiniz	bil+Verb+Pos+Aor+A2pl
görünmez	görün+Verb+Neg+Aor+A3sg
edecekmiş	et+Verb+Pos+Fut+Narr+A3sg
sabitlenmişti	sabitle+Verb^DB+Verb+Pass+Pos+Narr+Past+A3sg
seslendik	seslen+Verb+Pos+Past+A1pl
takınırlardı	takın+Verb+Pos+Aor+A3pl+Past
bilirdi	bil+Verb+Pos+Aor+Past+A3sg
bitirdi	bit+Verb^DB+Verb+Caus+Pos+Past+A3sg
hareketti	hareket+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
çalışıyorlardı	çalış+Verb+Pos+Prog1+A3pl+Past
bakıştı	bak+Verb^DB+Verb+Recip+Pos+Past+A3sg
düşürecekti	düş+Verb^DB+Verb+Caus+Pos+Fut+Past+A3sg
görmedi	gör+Verb+Neg+Past+A3sg
eğesiydi	eğ+Verb+Pos^DB+Noun+FeelLike+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
tanıyordu	tanı+Verb+Pos+Prog1+Past+A3sg
ilgilenmiyordu	ilgilen+Verb+Neg+Prog1+Past+A3sg
gösterebiliyordu	göster+Verb+Pos^DB+Verb+Able+Prog1+Past+A3sg
durun	dur+Verb+Pos+Imp+A2pl
buldu	bul+Verb+Pos+Past+A3sg
bırakmış	bırak+Verb+Pos+Narr+A3sg
tutuyordum	tut+Verb+Pos+Prog1+Past+A1sg
denemezdi	de+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+Past+A3sg
konuşacak	konuş+Verb+Pos+Fut+A3sg
konuşmuş	konuş+Verb+Pos+Narr+A3sg
ayrılmıştı	ayır+Verb^DB+Verb+Pass+Pos+Narr+Past+A3sg
işlemiş	işle+Verb+Pos+Narr+A3sg
aptallaşmıştım	aptal+Adj^DB+Verb+Become+Pos+Narr+Past+A1sg
düşünemiyordum	düşün+Verb^DB+Verb+Able+Neg+Prog1+Past+A1sg
bahsetti	bahset+Verb+Pos+Past+A3sg
girerim	gir+Verb+Pos+Aor+A1sg
çıkardım	çık+Verb+Pos+Aor+Past+A1sg
bulamayacaktı	bul+Verb^DB+Verb+Able+Neg+Fut+Past+A3sg
emindim	emin+Adj^DB+Verb+Zero+Past+A1sg
yerleştirdi	yerleş+Verb^DB+Verb+Caus+Pos+Past+A3sg
kaçmıştı	kaç+Verb+Pos+Narr+Past+A3sg
korkutmuştu	kork+Verb^DB+Verb+Caus+Pos+Narr+Past+A3sg
çalıştım	çalış+Verb+Pos+Past+A1sg
uyandım	uyan+Verb+Pos+Past+A1sg
kilitledi	kilitle+Verb+Pos+Past+A3sg
ilgilenmedi	ilgilen+Verb+Neg+Past+A3sg
koridordu	koridor+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
çevreliyor	çevrele+Verb+Pos+Prog1+A3sg
geçmiştik	geç+Verb+Pos+Narr+Past+A1pl
buldum	bul+Verb+Pos+Past+A1sg
girdik	gir+Verb+Pos+Past+A1pl
önüydü	ön+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Past+A3sg
kadardı	kadar+Postp+PCDat^DB+Verb+Zero+Past+A3sg
vermiş	ver+Verb+Pos+Narr+A3sg
düzeltilmiş	düzel+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos+Narr+A3sg
yapışmış	yapış+Verb+Pos+Narr+A3sg
yağmıştı	yağ+Verb+Pos+Narr+Past+A3sg
erimişti	eri+Verb+Pos+Narr+Past+A3sg
erimemişti	eri+Verb+Neg+Narr+Past+A3sg
vuruyordu	vur+Verb+Pos+Prog1+Past+A3sg
geldim	gel+Verb+Pos+Past+A1sg
sanıyordum	san+Verb+Pos+Prog1+Past+A1sg
bölmüştü	böl+Verb+Pos+Narr+Past+A3sg
göremiyordum	gör+Verb^DB+Verb+Able+Neg+Prog1+Past+A1sg
izliyor	izle+Verb+Pos+Prog1+A3sg
yapmıştı	yap+Verb+Pos+Narr+Past+A3sg
bilmiyormuş	bil+Verb+Neg+Prog1+Narr+A3sg
çaktırmasınlar	çak+Verb^DB+Verb+Caus+Neg+Imp+A3pl
hatırlattı	hatırla+Verb^DB+Verb+Caus+Pos+Past+A3sg
şükretsin	şükret+Verb+Pos+Imp+A3sg
düşünmüştüm	düşün+Verb+Pos+Narr+Past+A1sg
yoksundu	yoksun+Verb+Pos+Past+A3sg
sevmeliyiz	sev+Verb+Pos+Neces+A1pl
gibilerdi	gibi+Postp+PCNom^DB+Noun+Zero+A3pl+Pnon+Nom^DB+Verb+Zero+Past+A3sg
basa	bas+Verb+Pos+Opt+A3sg
konuştun	konuş+Verb+Pos+Past+A2sg
alemsin	alem+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A2sg
edemeyiz	et+Verb^DB+Verb+Able+Neg+Aor+A1pl
bilmedi	bil+Verb+Neg+Past+A3sg
öğrenemeyecek	öğren+Verb^DB+Verb+Able+Neg+Fut+A3sg
mecburdum	mecbur+Adj^DB+Verb+Zero+Past+A1sg
zorundaydım	zor+Adj^DB+Noun+Zero+A3sg+P3sg+Loc^DB+Verb+Zero+Past+A1sg
düşer	düş+Verb+Pos+Aor+A3sg
biliyorsanız	bile+Verb+Pos+Prog1+Cond+A2pl
yapın	yap+Verb+Pos+Imp+A2pl
aldım	al+Verb+Pos+Past+A1sg
ödedi	öde+Verb+Pos+Past+A3sg
kaplayacak	kapla+Verb+Pos+Fut+A3sg
böldü	böl+Verb+Pos+Past+A3sg
düşüyordum	düş+Verb+Pos+Prog1+Past+A1sg
tuttum	tut+Verb+Pos+Past+A1sg
güzelsiniz	güzel+Adj^DB+Verb+Zero+Pres+A2pl
kırıyor	kır+Verb+Pos+Prog1+A3sg
düşünüyorsun	düşün+Verb+Pos+Prog1+A2sg
söyleyeceksin	söyle+Verb+Pos+Fut+A2sg
ağlamıyorsun	ağla+Verb+Neg+Prog1+A2sg
sersem	ser+Verb+Pos+Desr+A1sg
ağlamayacağım	ağla+Verb+Neg+Fut+A1sg
açıklamaydı	açıkla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
ağlıyordum	ağla+Verb+Pos+Prog1+Past+A1sg
çıktık	çık+Verb+Pos+Past+A1pl
karşılaştık	karşılaş+Verb+Pos+Past+A1pl
dökülmüştü	dök+Verb^DB+Verb+Pass+Pos+Narr+Past+A3sg
çukurdu	çukur+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
verse	ver+Verb+Pos+Desr+A3sg
görünmeyecek	görün+Verb+Neg+Fut+A3sg
açıkladım	açıkla+Verb+Pos+Past+A1sg
ol	ol+Verb+Pos+Imp+A2sg
tanıdım	tanı+Verb+Pos+Past+A1sg
gelmiştik	gel+Verb+Pos+Narr+Past+A1pl
değişmemişti	değiş+Verb+Neg+Narr+Past+A3sg
duruyorsa	dur+Verb+Pos+Prog1+Cond+A3sg
oradaydı	ora+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Past+A3sg
bekledim	bekle+Verb+Pos+Past+A1sg
dur	dur+Verb+Pos+Imp+A2sg
sanmıyorum	san+Verb+Neg+Prog1+A1sg
oynayamaz	oyna+Verb^DB+Verb+Able+Neg+Aor+A3sg
istemiyorsun	iste+Verb+Neg+Prog1+A2sg
verebildim	ver+Verb+Pos^DB+Verb+Able+Past+A1sg
yasaktı	yasak+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
havasızdı	hava+Noun+A3sg+Pnon+Nom^DB+Adj+Without^DB+Verb+Zero+Past+A3sg
yakılmıştı	yak+Verb^DB+Verb+Pass+Pos+Narr+Past+A3sg
soğuktu	soğuk+Adj^DB+Verb+Zero+Past+A3sg
aydınlatmıyordu	aydınlat+Verb+Neg+Prog1+Past+A3sg
edememişti	et+Verb^DB+Verb+Able+Neg+Narr+Past+A3sg
denebilir	de+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Aor+A3sg
odaydı	oda+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
belirteyim	belir+Verb^DB+Verb+Caus+Pos+Opt+A1sg
kaplıydı	kap+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Past+A3sg
serilmiş	ser+Verb^DB+Verb+Pass+Pos+Narr+A3sg
masaydı	masa+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
mantardı	mantar+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
duyuluyordu	duy+Verb^DB+Verb+Pass+Pos+Prog1+Past+A3sg
ilgilendiriyor	ilgilen+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
anımsatıyorlardı	anımsa+Verb^DB+Verb+Caus+Pos+Prog1+A3pl+Past
çekmişti	çek+Verb+Pos+Narr+Past+A3sg
bakacaklar	bak+Verb+Pos+Fut+A3pl
ölür	öl+Verb+Pos+Aor+A3sg
yatırırlar	yatır+Verb+Pos+Aor+A3pl
titredim	titre+Verb+Pos+Past+A1sg
dokunuyor	dokun+Verb+Pos+Prog1+A3sg
yürüt	yürü+Verb^DB+Verb+Caus+Pos+Imp+A2sg
yaslandı	yasla+Verb^DB+Verb+Pass+Pos+Past+A3sg
gelmişti	gel+Verb+Pos+Narr+Past+A3sg
yürüdük	yürü+Verb+Pos+Past+A1pl
düşünceleriydi	düşünce+Noun+A3pl+P3sg+Nom^DB+Verb+Zero+Past+A3sg
çağır	çağır+Verb+Pos+Imp+A2sg
seslendim	seslen+Verb+Pos+Past+A1sg
görseydi	gör+Verb+Pos+Desr+Past+A3sg
bilemedim	bil+Verb^DB+Verb+Able+Neg+Past+A1sg
dururdum	dur+Verb+Pos+Aor+Past+A1sg
dürttü	dürt+Verb+Pos+Past+A3sg
zannedecekler	zannet+Verb+Pos+Fut+A3pl
utandım	utan+Verb+Pos+Past+A1sg
görünüyorsunuz	görün+Verb+Pos+Prog1+A2pl
görünmüyorum	görün+Verb+Neg+Prog1+A1sg
beklenemez	bekle+Verb^DB+Verb+Pass^DB+Verb+Able+Neg+Aor+A3sg
kıyamam	kıy+Verb^DB+Verb+Able+Neg+Aor+A1sg
hoşsun	hoş+Adj^DB+Verb+Zero+Pres+A2sg
duracaktım	dur+Verb+Pos+Fut+Past+A1sg
durmadı	dur+Verb+Neg+Past+A3sg
hissettim	hisset+Verb+Pos+Past+A1sg
olayım	olay+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
daralıyor	daral+Verb+Pos+Prog1+A3sg
çalışırdı	çalış+Verb+Pos+Aor+Past+A3sg
boğuldu	boğ+Verb^DB+Verb+Pass+Pos+Past+A3sg
beydi	bey+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
biliyoruz	bile+Verb+Pos+Prog1+A1pl
bağlamaz	bağla+Verb+Neg+Aor+A3sg
destekledi	destekle+Verb+Pos+Past+A3sg
etmiştim	et+Verb+Pos+Narr+Past+A1sg
olmasaydım	ol+Verb+Neg+Desr+Past+A1sg
sıhhatim	sıhhat+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Pres+A1sg
rahatlatıyor	rahatla+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
yaşadı	yaşa+Verb+Pos+Past+A3sg
durmamıştık	dur+Verb+Neg+Narr+Past+A1pl
durduk	dur+Verb+Pos+Past+A1pl
sürünüyorduk	sürün+Verb+Pos+Prog1+Past+A1pl
süpürüyorduk	süpür+Verb+Pos+Prog1+Past+A1pl
kaynaşmaz	kaynaş+Verb+Neg+Aor+A3sg
gelmiyor	gel+Verb+Neg+Prog1+A3sg
sarkar	sark+Verb+Pos+Aor+A3sg
neredeydi	nere+Pron+Ques+A3sg+Pnon+Loc^DB+Verb+Zero+Past+A3sg
yukarıdaydı	yukarı+Noun+A3sg+Pnon+Loc^DB+Verb+Zero+Past+A3sg
yattım	yat+Verb+Pos+Past+A1sg
anlaşılmaz	anlaş+Verb^DB+Verb+Pass+Neg+Aor+A3sg
şaşırmadım	şaşır+Verb+Neg+Past+A1sg
duymuşlar	duy+Verb+Pos+Narr+A3pl
sanmış	san+Verb+Pos+Narr+A3sg
duracak	dur+Verb+Pos+Fut+A3sg
duracaksın	dur+Verb+Pos+Fut+A2sg
hissedeceğim	hisset+Verb+Pos+Fut+A1sg
hissetse	hisset+Verb+Pos+Desr+A3sg
anasıymışız	ana+Noun+A3sg+P3sg+Nom^DB+Verb+Zero+Narr+A1pl
metanetliymiş	metanet+Noun+A3sg+Pnon+Nom^DB+Adj+With^DB+Verb+Zero+Narr+A3sg
tıkanacakmış	tıka+Verb^DB+Verb+Pass+Pos+Fut+Narr+A3sg
yarıştılar	yarış+Verb+Pos+Past+A3pl
uyanıktı	uyanık+Adj^DB+Verb+Zero+Past+A3sg
başardı	başar+Verb+Pos+Past+A3sg
omzumdaydı	omuz+Noun+A3sg+P1sg+Loc^DB+Verb+Zero+Past+A3sg
ediyorduk	et+Verb+Pos+Prog1+Past+A1pl
yavaşlamıştık	yavaşla+Verb+Pos+Narr+Past+A1pl
üzereydim	üzere+Postp+PCNom^DB+Verb+Zero+Past+A1sg
edemezler	et+Verb^DB+Verb+Able+Neg+Aor+A3pl
getirildi	getir+Verb^DB+Verb+Pass+Pos+Past+A3sg
karıştırıyor	karış+Verb^DB+Verb+Caus+Pos+Prog1+A3sg
dokunmuyordu	doku+Verb^DB+Verb+Pass+Neg+Prog1+Past+A3sg
çürüdük	çürü+Verb+Pos+Past+A1pl
dayamıştı	daya+Verb+Pos+Narr+Past+A3sg
sararmıştı	sarar+Verb+Pos+Narr+Past+A3sg
yapacaklar	yap+Verb+Pos+Fut+A3pl
çıkarmıyordum	çık+Verb^DB+Verb+Caus+Neg+Prog1+Past+A1sg
sürdü	sür+Verb+Pos+Past+A3sg
başlayacağız	başla+Verb+Pos+Fut+A1pl
oynayın	oyna+Verb+Pos+Imp+A2pl
izleyeyim	izle+Verb+Pos+Opt+A1sg
oturduk	otur+Verb+Pos+Past+A1pl
aşikardı	aşikar+Adj^DB+Verb+Zero+Past+A3sg
aynıydı	aynı+Adj^DB+Verb+Zero+Past+A3sg
indik	in+Verb+Pos+Past+A1pl
bırakılmıştım	bırak+Verb^DB+Verb+Pass+Pos+Narr+Past+A1sg
görmem	gör+Verb+Neg+Aor+A1sg
tırmanmam	tırman+Verb+Neg+Aor+A1sg
gerekmişti	gerek+Verb+Pos+Narr+Past+A3sg
yetiştirmişlerdi	yetiş+Verb^DB+Verb+Caus+Pos+Narr+A3pl+Past
oluşturmuşlardı	oluş+Verb^DB+Verb+Caus+Pos+Narr+A3pl+Past
düşmüş	düş+Verb+Pos+Narr+A3sg
şaşırmıştım	şaşır+Verb+Pos+Narr+Past+A1sg
okuyordu	oku+Verb+Pos+Prog1+Past+A3sg
bulaşmış	bulaş+Verb+Pos+Narr+A3sg
verilebilecek	ver+Verb^DB+Verb+Pass+Pos^DB+Verb+Able+Fut+A3sg
etmemiştim	et+Verb+Neg+Narr+Past+A1sg
sormuşumdur	sor+Verb+Pos+Narr+A1sg+Cop
davranabilirdim	davran+Verb+Pos^DB+Verb+Able+Aor+Past+A1sg
direktti	direkt+Noun+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
şaşkındım	şaşkın+Adj^DB+Verb+Zero+Past+A1sg
çırptı	çırp+Verb+Pos+Past+A3sg
kaldırdı	kaldır+Verb+Pos+Past+A3sg
vurdu	vur+Verb+Pos+Past+A3sg
vuruyordum	vur+Verb+Pos+Prog1+Past+A1sg
vuracaksın	vur+Verb+Pos+Fut+A2sg
sıçradı	sıçra+Verb+Pos+Past+A3sg
dövüşülür	döv+Verb^DB+Verb+Recip^DB+Verb+Pass+Pos+Aor+A3sg
korkuyordum	kork+Verb+Pos+Prog1+Past+A1sg
davranıştı	davran+Verb+Pos^DB+Noun+Inf3+A3sg+Pnon+Nom^DB+Verb+Zero+Past+A3sg
