peynirli pastalarınızı	peynirli pastaNACCPLPSS2P
yağlamam	yağlamakVIND1SGPRSNEGDECL
önemliliğinde	önemlilikNLOCSGPSS2S
fındık kırmıyordun	fındık kırmakVIND2SGPSTPROGNEGDECL
çalışmadık	çalışmakVIND1PLPSTNEGDECL
seçeneklerin	seçenekNGENPL
saksafonunuza	saksafonNDATSGPSS2P
heyecanlandınız	heyecanlanmakVIND2PLPSTPOSDECL
vilayetlerini	vilayetNACCPLPSS3P
mayomu	mayoNACCSGPSS1S
küpenizden	küpeNABLSGPSS2P
asasında	asaNLOCSGPSS3S
bakıyorlar mı?	bakmakVIND3PLPRSPROGPOSINTR
geriyor muydunuz?	germekVIND2PLPSTPROGPOSINTR
kuvvetliliklerinde	kuvvetlilikNLOCPLPSS3P
aşlarımızı	aşNACCPLPSS1P
nalından	nalNABLSGPSS3S
tanışacak mıyız?	tanışmakVIND1PLFUTPOSINTR
kötüleşmiyorlar mıydı?	kötüleşmekVIND3PLPSTPROGNEGINTR
çağırdılar	çağırmakVIND3PLPSTPOSDECL
yasandan	yasaNABLSGPSS2S
albümden	albümNABLSG
bedevilerimizde	bedeviNLOCPLPSS1P
toprak oldum	toprak olmakVIND1SGPSTPOSDECL
serpiyorum	serpmekVIND1SGPRSPROGPOSDECL
mimlerimin	mimNGENPLPSS1S
fırınlarımızda	fırınNLOCPLPSS1P
platformlarımızın	platformNGENPLPSS1P
Hakk'ın rahmetine kavuşurlar	Hakk'ın rahmetine kavuşmakVIND3PLPRSPOSDECL
şaşıyordu	şaşmakVIND3SGPSTPROGPOSDECL
deneylerden	deneyNABLPL
aşklarınızın	aşkNGENPLPSS2P
sonsuzunuzun	sonsuzNGENSGPSS2P
topluluklardık	toplulukNLGSPEC11PPLPST
yengeçlerimizin	yengeçNGENPLPSS1P
sürülerinizi	sürüNACCPLPSS2P
farelermişsiniz	fareNLGSPEC12PPLLGSPEC2
paylaştık	paylaşmakVIND1PLPSTPOSDECL
götürdük	götürmekVIND1PLPSTPOSDECL
aldırtmatınız mı?	aldırtmamakVIND2PLPSTPOSINTR
maskeni	maskeNACCSGPSS2S
gösterecek misin?	göstermekVIND2SGFUTPOSINTR
kasığını	kasıkNACCSGPSS2S
jaluzimize	jaluziNDATSGPSS1P
sümüğünüzün	sümükNGENSGPSS2P
müezzinlerinin	müezzinNGENPLPSS3P
asacak mı?	asmakVIND3SGFUTPOSINTR
boğazlarımızın	boğazNGENPLPSS1P
zırtgellerinin	zırtgelNGENPLPSS3S
kusmayacak mısın?	kusmakVIND2SGFUTNEGINTR
jelatinlerine	jelatinNDATSGPSS3P
müstahdemdim	müstahdemNLGSPEC11SSGPST
yaban çileklerinden	yaban çileğiNABLPL
jartiyerlerimize	jartiyerNDATPLPSS1P
acılardı	acıNLGSPEC13SPLPST
bütünleşmiyor	bütünleşmekVIND3SGPRSPROGNEGDECL
çubukta	çubukNLOCSG
burkuyordum	burkmakVIND1SGPSTPROGPOSDECL
tatlarınız	tatNNOMPLPSS2P
hocaydın	hocaNLGSPEC12SSGPST
üresinin	üreNGENSGPSS3S
ayarlanıyor muydu?	ayarlanmakVIND3SGPSTPROGPOSINTR
uğratır mısınız?	uğratmakVIND2PLPRSPOSINTR
taşeronunda	taşeronNLOCSGPSS2S
battaniyelerin	battaniyeNNOMPLPSS2S
kavaklarında	kavakNLOCPLPSS3S
otuz birciyim	otuz birciNLGSPEC11SSGPRS
aynasızından	aynasızNABLSGPSS3S
doktorumuz	doktorNNOMSGPSS1P
dikdörtgenleri	dikdörtgenNNOMPLPSS3P
karadullardan	karadulNABLPL
ilerilerinden	ileriNABLPLPSS3P
taklitçisini	taklitçiNACCSGPSS3S
başrahiplersiniz	başrahipNLGSPEC12PPLPRS
ilklendirmiyorsun	ilklendirmekVIND2SGPRSPROGNEGDECL
vurmuyor muyduk?	vurmakVIND1PLPSTPROGNEGINTR
cevizlerime	cevizNDATPLPSS1S
giymiyorlar	giymekVIND3PLPRSPROGNEGDECL
şehirlerine	şehirNDATPLPSS2S
altlarıma	altNDATPLPSS1S
yanaklarını	yanakNACCPLPSS3P
surelere	sureNDATPL
çaldınız mı?	çalmakVIND2PLPSTPOSINTR
kontak lenslere	kontak lensNDATPL
katilimi	katilNACCSGPSS1S
eridi	erimekVIND3SGPSTPOSDECL
puroları	puroNNOMSGPSS3P
migrenimde	migrenNLOCSGPSS1S
salahiyetlerinizde	salahiyetNLOCPLPSS2P
aldıracağım	aldırmakVIND1SGFUTPOSDECL
ahizemizde	ahizeNLOCSGPSS1P
kipası	kipaNNOMSGPSS3S
teşhislerinize	teşhisNDATPLPSS2P
günlükleri	günlükNNOMSGPSS3P
kalpaklarının	kalpakNGENPLPSS2S
ürününüzü	ürünNACCSGPSS2P
yıpranmaz mı?	yıpranmakVIND3SGPRSNEGINTR
müsaadesinde	müsaadeNLOCSGPSS3S
mumya	mumyaNLGSPEC13SSGPRS
aşıklar	aşıkNLGSPEC13SPLPRS
toprak oldunuz mu?	toprak olmakVIND2PLPSTPOSINTR
göçüyor muydunuz?	göçmekVIND2PLPSTPROGPOSINTR
kimofobi	kimofobiNNOMSG
milyonerinden	milyonerNABLSGPSS2S
nefretlerine	nefretNDATPLPSS2S
kaldıraçlarınızda	kaldıraçNLOCPLPSS2P
örneklerinizin	örnekNGENPLPSS2P
patladınız mı?	patlamakVIND2PLPSTPOSINTR
devirdim	devirNLGSPEC11SSGPST
uyanmıyor muyuz?	uyanmakVIND1PLPRSPROGNEGINTR
kruvasanlarında	kruvasanNLOCSGPSS3P
kelepçelerimizin	kelepçeNGENPLPSS1P
dikdörtgeni	dikdörtgenNNOMSGPSS3S
seslenmeyeceğiz	seslenmekVIND1PLFUTNEGDECL
filozofumuz	filozofNNOMSGPSS1P
öğretini	öğretiNACCSGPSS2S
pöhrenk	pöhrenkNLGSPEC13SSGPRS
sunucularına	sunucuNDATSGPSS3P
ergenlikten	ergenlikNABLSG
ayakkabısına	ayakkabıNDATSGPSS3S
anasızlıkları	anasızlıkNNOMSGPSS3P
enstrümanıma	enstrümanNDATSGPSS1S
mamalarım	mamaNNOMPLPSS1S
salmadınız	salmakVIND2PLPSTNEGDECL
nişanlı	nişanlıNNOMSG
teyzelerin	teyzeNGENPL
kasetlerime	kasetNDATPLPSS1S
seçecek misin?	seçmekVIND2SGFUTPOSINTR
güzelleştirecek	güzelleştirmekVIND3SGFUTPOSDECL
sitesinde	siteNLOCSGPSS3S
ambulans	ambulansNNOMSG
sürtüklerinde	sürtükNLOCPLPSS2S
üşüyecekler	üşümekVIND3PLFUTPOSDECL
matlaydınız	matlaNLGSPEC12PSGPST
acıkmadılar mı?	acıkmakVIND3PLPSTNEGINTR
alıcımı	alıçNACCSGPSS1S
teşhirlerini	teşhirNACCPLPSS3S
diferansiyel denklemi	diferansiyel denklemNNOMSGPSS3S
kullanmalarımdan	kullanmaNABLPLPSS1S
gücenmiyorduk	gücenmekVIND1PLPSTPROGNEGDECL
laçoları	laçoNNOMPLPSS3S
peronda	peronNLOCSG
fişeğimi	fişekNACCSGPSS1S
bozayılardın	bozayıNLGSPEC12SPLPST
kolonlarını	kolonNACCPLPSS3P
şelaleleri	şelaleNACCPL
olaylarını	olayNACCSGPSS3P
yetkili sunucularmışım	yetkili sunucuNLGSPEC11SPLLGSPEC2
yumurtalarmış	yumurtaNLGSPEC13SPLLGSPEC2
delirecek miyim?	delirmekVIND1SGFUTPOSINTR
canlandırtılmaz mıyız?	canlandırtılmakVIND1PLPRSNEGINTR
kirletmedik mi?	kirletmekVIND1PLPSTNEGINTR
bezmiyorum	bezmekVIND1SGPRSPROGNEGDECL
öğrenmeyeceksin	öğrenmekVIND2SGFUTNEGDECL
mantıklı değil miydik?	mantıklıADJLGSPEC1PST1PLNEGINTR
işemiyordular	işemekVIND3PLPSTPROGNEGDECL
direğimi	direkNACCSGPSS1S
araçtan	araçNABLSG
süngerlerini	süngerNACCPLPSS3S
frizbilerinizden	frizbiNABLPLPSS2P
bükmemeyi	bükmemeNACCSG
sinagoglarının	sinagogNGENPLPSS2S
takvimlerinde	takvimNLOCSGPSS3P
sözlükçüm	sözlükçüNNOMSGPSS1S
hiperbolleri	hiperbolNNOMSGPSS3P
modaları	modaNNOMPLPSS3S
verimsizleştirmez mi?	verimsizleştirmekVIND3SGPRSNEGINTR
salataydı	salataNLGSPEC13SSGPST
hıçkırığımdan	hıçkırıkNABLSGPSS1S
çizmiyor muyduk?	çizmekVIND1PLPSTPROGNEGINTR
yerine	yerNDATSGPSS3S
şehrimde	şehirNLOCSGPSS1S
gayzerlerimizde	gayzerNLOCPLPSS1P
mühimliğimizden	mühimlikNABLSGPSS1P
giymiyorduk	giymekVIND1PLPSTPROGNEGDECL
oluyorum	olmakVIND1SGPRSPROGPOSDECL
geylerinizi	geyNACCPLPSS2P
ecelerdiniz	eceNLGSPEC12PPLPST
afiyetlerinden	afiyetNABLPLPSS2S
koymuyor muydun?	koymakVIND2SGPSTPROGNEGINTR
kerpiçlerinde	kerpiçNLOCSGPSS3P
umurlarının	umurNGENPLPSS3P
yaratında	yaratıNLOCSGPSS2S
kaynacının	kaynaçNGENSGPSS3S
cartayı çekmezler mi?	cartayı çekmekVIND3PLPRSNEGINTR
nalları dikmediniz mi?	nalları dikmekVIND2PLPSTNEGINTR
nosyonundan	nosyonNABLSGPSS2S
dişleğim	dişlekNNOMSGPSS1S
karıştırtmadın	karıştırtmakVIND2SGPSTNEGDECL
uçaklarında	uçakNLOCSGPSS3P
nefes almıyor muydunuz?	nefes almakVIND2PLPSTPROGNEGINTR
büstlerinin	büstNGENPLPSS2S
abajurcunun	abajurcuNGENSGPSS2S
düzelmiyorlar mıydı?	düzeltmekVIND3PLPSTPROGNEGINTR
ustalarının	ustaNGENPLPSS3P
buharlaşmadık	buharlaşmakVIND1PLPSTNEGDECL
şafaklarım	şafakNNOMPLPSS1S
beneklerinin	benekNGENPLPSS3P
dövmen	dövmeNNOMSGPSS2S
okulu	okulNACCSG
geyşamdan	geyşaNABLSGPSS1S
ikizlerinden	ikizNABLPLPSS3P
yoldaşlarım	yoldaşNLGSPEC11SPLPRS
sillenizde	silleNLOCSGPSS2P
efenin	efeNGENSG
sanmıyor muydu?	sanmakVIND3SGPSTPROGNEGINTR
özel okulumuzu	özel okulNACCSGPSS1P
övgümüz	övgüNNOMSGPSS1P
benzerlerden	benzerNABLPL
yapraklarımda	yaprakNLOCPLPSS1S
büyülü değil miymişiz?	büyülüADJLGSPEC1LGSPEC21PLNEGINTR
final sınıfınızın	final sınıfNGENSGPSS2P
tayfası	tayfaNNOMSGPSS3S
şamarlamıyordunuz	şamarlamakVIND2PLPSTPROGNEGDECL
uygulamalarımızda	uygulamaNLOCPLPSS1P
bulunma hallerinin	bulunma haliNGENPL
küllerinden	külNABLPLPSS3S
solumuyorlar mıydı?	solumakVIND3PLPSTPROGNEGINTR
kuyularımızda	kuyuNLOCPLPSS1P
sökmüyor musun?	sökmekVIND2SGPRSPROGNEGINTR
altdillerine	altdilNDATPLPSS2S
mandallarmış	mandalNLGSPEC13PPLLGSPEC2
ambulansları	ambulansNNOMPLPSS3S
daldırmayacağız	daldırmakVIND1PLFUTNEGDECL
baykuşları	baykuşNNOMSGPSS3P
paskalyamızı	paskalyaNACCSGPSS1P
cevap vermez miyim?	cevap vermekVIND1SGPRSNEGINTR
leşler	leşNNOMPL
dindarlıklarını	dindarlıkNACCPLPSS2S
yüzmeleri	yüzmeNACCPL
sözlüklermişiz	sözlükNLGSPEC11PPLLGSPEC2
döndürüyorum	döndürmekVIND1SGPRSPROGPOSDECL
kâselerinden	kâseNABLPLPSS3P
dizmez mi?	dizmekVIND3SGPRSNEGINTR
sugeçirmez yapmıyorlar mıydı?	sugeçirmez yapmakVIND3PLPSTPROGNEGINTR
solunumumdan	solunumNABLSGPSS1S
balkanlarına	balkanNDATPLPSS3P
sinirlendirmiyordun	sinirlendirmekVIND2SGPSTPROGNEGDECL
otizmi	otizmNACCSG
tipografyaya	tipografyaNDATSG
dolmuyor muydunuz?	dolmakVIND2PLPSTPROGNEGINTR
kıyar	kıymakVIND3SGPRSPOSDECL
çadırınıza	çadırNDATSGPSS2P
dürbünlerinde	dürbünNLOCPLPSS3P
yalanlarının	yalanNGENSGPSS3P
malamozlarını	malamozNACCSGPSS3P
yermişim	yerNLGSPEC11SSGLGSPEC2
börülcelerinin	börülceNGENSGPSS3P
takacak mıyız?	takmakVIND1PLFUTPOSINTR
homonimlerini	homonimNACCPLPSS3P
Lefkoşalılarının	LefkoşalıNGENPLPSS3P
alametlerinin	alametNGENPLPSS3S
kaldıraçlarına	kaldıraçNDATPLPSS2S
orta parmağınız	orta parmakNNOMSGPSS2P
şişiyorsunuz	şişmekVIND2PLPRSPROGPOSDECL
dizmedik mi?	dizmekVIND1PLPSTNEGINTR
kümbet	kümbetNNOMSG
Mogadişuluların	MogadişuluNNOMPLPSS2S
süslerdiniz	süsNLGSPEC12PPLPST
koruyucumun	koruyucuNGENSGPSS1S
belleğe	bellekNDATSG
orangutanlarımızda	orangutanNLOCPLPSS1P
altını çizmiyor muydunuz?	altını çizmekVIND2PLPSTPROGNEGINTR
kaynarlar mı?	kaynamakVIND3PLPRSPOSINTR
metresler	metresNNOMPL
yıpranıyor	yıpranmakVIND3SGPRSPROGPOSDECL
bezmeyeceğiz	bezmekVIND1PLFUTNEGDECL
yaratıyor muyduk?	yaratmakVIND1PLPSTPROGPOSINTR
ilerletiyor muyduk?	ilerletmekVIND1PLPSTPROGPOSINTR
bakmalarından	bakmaNABLPLPSS3S
garplarıma	garpNDATPLPSS1S
sıyırmazsınız	sıyırmakVIND2PLPRSNEGDECL
germeyecek miyim?	germekVIND1SGFUTNEGINTR
alçak değil miymişler?	alçakADJLGSPEC1LGSPEC23PLNEGINTR
delirmiyorlar mı?	delirmekVIND3PLPRSPROGNEGINTR
çökeriyordunuz	çökermekVIND2PLPSTPROGPOSDECL
fitillerinizin	fitilNGENPLPSS2P
direğinde	direkNLOCSGPSS3S
bağlamıyor musunuz?	bağlamakVIND2PLPRSPROGNEGINTR
özlemlerinize	özlemNDATPLPSS2P
yağlamaz mısınız?	yağlamakVIND2PLPRSNEGINTR
dağılmıyor muyuz?	dağılmakVIND1PLPRSPROGNEGINTR
biseksüeldim	biseksüelNLGSPEC11SSGPST
ilklendirmelerimiz	ilklendirmeNNOMPLPSS1P
desen dilleri	desen diliNNOMPL
külfetten	külfetNABLSG
doğru muydum?	doğruADJLGSPEC1PST1SGPOSINTR
çağırmıyorsun	çağırmakVIND2SGPRSPROGNEGDECL
reaktörleri	reaktörNNOMPLPSS3P
alındırdın	alındırmakVIND2SGPSTPOSDECL
omurgaydım	omurgaNLGSPEC11SSGPST
sözlükçülere	sözlükçüNDATPL
kuşkonmazları	kuşkonmazNACCPL
şaşırmadık mı?	şaşırmakVIND1PLPSTNEGINTR
kokuymuşuz	kokuNLGSPEC11PSGLGSPEC2
insanımsının	insanımsıNGENSGPSS2S
tasarımını	tasarımNACCSGPSS3S
balinamızda	balinaNLOCSGPSS1P
mazotumuzun	mazotNGENSGPSS1P
numaralamalarımızı	numaralamaNACCPLPSS1P
salonun	salonNNOMSGPSS2S
camilerini	camiNACCPLPSS3P
hamızlarımızda	hamızNLOCPLPSS1P
sosislerimin	sosisNGENPLPSS1S
parçacıklarınızın	parçacıkNGENPLPSS2P
kızlıklarında	kızlıkNLOCPLPSS2S
sesteşimde	sesteşNLOCSGPSS1S
saldırıyorlar	saldırmakVIND3PLPRSPROGPOSDECL
mumlarınızı	mumNACCPLPSS2P
penayı	penaNACCSG
yıldızlarından	yıldızNABLPLPSS3S
peynirli pastamda	peynirli pastaNLOCSGPSS1S
kuramların	kuramNGENPL
mükemmel değil miymişsin?	mükemmelADJLGSPEC1LGSPEC22SGNEGINTR
karar verecekler mi?	karar vermekVIND3PLFUTPOSINTR
akrobatlarsın	akrobatNLGSPEC12SPLPRS
yolunduruyor muydunuz?	yolundurmakVIND2PLPSTPROGPOSINTR
marullarım	marulNNOMPLPSS1S
basınlarını	basınNACCSGPSS3P
kızgın değilmişler	kızgınADJLGSPEC1LGSPEC23PLNEGDECL
balıklarsın	balıkNLGSPEC12SPLPRS
hinterlantlarınızın	hinterlantNGENPLPSS2P
ana fikrinizde	ana fikirNLOCSGPSS2P
canlandırılmayacağız	canlandırılmakVIND1PLFUTNEGDECL
maratoncularımı	maratoncuNACCPLPSS1S
paylaşmayacak	paylaşmakVIND3SGFUTNEGDECL
aşık olurlar	aşık olmakVIND3PLPRSPOSDECL
örtülerini	örtüNACCPLPSS3P
patates	patatesNNOMSG
maydanozlarından	maydanozNABLPLPSS3S
sikişmez miyim?	sikişmekVIND1SGPRSNEGINTR
hamızıma	hamızNDATSGPSS1S
sınıflarına	sınıfNDATPLPSS2S
sinmeyeceğim	sinmekVIND1SGFUTNEGDECL
örmeyecek miyiz?	örmekVIND1PLFUTNEGINTR
semercilerdin	semerciNLGSPEC12SPLPST
koptular mu?	kopmakVIND3PLPSTPOSINTR
kırıklarıma	kırıkNDATPLPSS1S
dizileriniz	diziNNOMPLPSS2P
kolonyalarından	kolonyaNABLSGPSS3P
yaramıyor muyduk?	yaramakVIND1PLPSTPROGNEGINTR
bitkilerin	bitkiNGENPL
dindar değilmiş	dindarADJLGSPEC1LGSPEC23SGNEGDECL
kapatmazlar mı?	kapatmakVIND3PLPRSNEGINTR
bamyadan	bamyaNABLSG
eşeğimi	eşekNACCSGPSS1S
telefonlarımı	telefonNACCPLPSS1S
kömlerinde	kömNLOCPLPSS3S
bitiriyorlar	bitirmekVIND3PLPRSPROGPOSDECL
kıyametlerine	kıyametNDATPLPSS3P
numaralamama	numaralamamaNNOMSG
temsilleri	temsilNNOMPLPSS3S
yelkenmişim	yelkenNLGSPEC11SSGLGSPEC2
sabahınızı	sabahNACCSGPSS2P
yağmurumuzda	yağmurNLOCSGPSS1P
masallarımızın	masalNGENPLPSS1P
doğru muydular?	doğruADJLGSPEC1PST3PLPOSINTR
fındık kırmıyorlar	fındık kırmakVIND3PLPRSPROGNEGDECL
yetiştirirler	yetiştirmekVIND3PLPRSPOSDECL
gizliyoruz	gizlemekVIND1PLPRSPROGPOSDECL
tandırını	tandırNACCSGPSS2S
gelinmediniz mi?	gelinmekVIND2PLPSTNEGINTR
çıkmıyorlar mıydı?	çıkmakVIND3PLPSTPROGNEGINTR
bulundunuz	bulunmakVIND2PLPSTPOSDECL
yemişinizden	yemişNABLSGPSS2P
akvaryumlarında	akvaryumNLOCPLPSS3P
iletmiyorlar mıydı?	iletmekVIND3PLPSTPROGNEGINTR
şikâyet etecek	şikâyet etmekVIND3SGFUTPOSDECL
eşzamanlı dönüşleri	eşzamanlı dönüşNACCPL
tekfurlarımızdan	tekfurNABLPLPSS1P
dadıları	dadıNNOMPLPSS3P
polinomum	polinomNNOMSGPSS1S
uyanırlar	uyanmakVIND3PLPRSPOSDECL
bahçıvanlardır	bahçıvanNLGSPEC13PPLPRS
ekşiyecekler mi?	ekşimekVIND3PLFUTPOSINTR
dirim bilimciydiler	dirim bilimciNLGSPEC13PSGPST
çavuşuna	çavuşNDATSGPSS3S
yağlıyorsun	yağlamakVIND2SGPRSPROGPOSDECL
buluyor muydum?	bulmakVIND1SGPSTPROGPOSINTR
ritimleri	ritimNNOMPLPSS3S
romanlarınızda	romanNLOCPLPSS2P
çalışmayı	çalışmaNACCSG
kanar mısın?	kanamakVIND2SGPRSPOSINTR
sıkacaklar	sıkmakVIND3PLFUTPOSDECL
dikdörtgenlerini	dikdörtgenNACCPLPSS3P
sillelerinizin	silleNGENPLPSS2P
bineklerine	binekNDATPLPSS3S
deliyi	deliNACCSG
kırdırtmayacak	kırdırtmakVIND3SGFUTNEGDECL
eğlendiler mi?	eğlenmekVIND3PLPSTPOSINTR
kelimeciğine	kelimecikNDATSGPSS3S
günahkârında	günahkârNLOCSGPSS2S
strüktürlerinde	strüktürNLOCPLPSS3P
yoğurdumuzdan	yoğurtNABLSGPSS1P
bakirdik	bakirNLGSPEC11PSGPST
mesuliyetlerine	mesuliyetNDATPLPSS3P
saymaz mısın?	saymakVIND2SGPRSNEGINTR
terzilerde	terziNLOCPL
raporun	raporNGENSG
striptizlerime	striptizNDATPLPSS1S
huzurlar	huzurNLGSPEC13SPLPRS
akvaryumumuzu	akvaryumNACCSGPSS1P
biniyor muyum?	binmekVIND1SGPRSPROGPOSINTR
meşrubatında	meşrubatNLOCSGPSS2S
kürerler mi?	küremekVIND3PLPRSPOSINTR
kaynaştırtmayacak	kaynaştırtmakVIND3SGFUTNEGDECL
Kopenhaglılardım	KopenhaglıNLGSPEC11SPLPST
telofazlarında	telofazNLOCPLPSS3P
yendirtiyordun	yendirtmekVIND2SGPSTPROGPOSDECL
pornonuz	pornoNNOMSGPSS2P
alındırtıyor musunuz?	alındırtmakVIND2PLPRSPROGPOSINTR
müşterilerimiz	müşteriNNOMPLPSS1P
peynirlerinde	peynirNLOCPLPSS2S
şahlarımda	şahNLOCPLPSS1S
eskediler mi?	eskimekVIND3PLPSTPOSINTR
karşılığından	karşılıkNABLSGPSS2S
umuyorlardı	ummakVIND3PLPSTPROGPOSDECL
düşmandılar	düşmanNLGSPEC13PSGPST
hendeseniz	hendeseNNOMSGPSS2P
çevirmeyecek	çevirmekVIND3SGFUTNEGDECL
korkutmayacak mısınız?	korkutmakVIND2PLFUTNEGINTR
rehberimin	rehberNGENSGPSS1S
ittirilmiyordu	ittirilmekVIND3SGPSTPROGNEGDECL
bluzsuzunun	bluzsuzNGENSGPSS3S
yankılarım	yankıNNOMPLPSS1S
onuru	onurNACCSG
ayarlanmayacak mısınız?	ayarlanmakVIND2PLFUTNEGINTR
hırsızlarının	hırsızNGENPLPSS3S
canlandırıyoruz	canlandırmakVIND1PLPRSPROGPOSDECL
yıpranıyor musun?	yıpranmakVIND2SGPRSPROGPOSINTR
karılardık	karıNLGSPEC11PPLPST
kirletmeyeceksiniz	kirletmekVIND2PLFUTNEGDECL
çakılımda	çakılNLOCSGPSS1S
solunumunuzu	solunumNACCSGPSS2P
daldırtdın mı?	daldırtmakVIND2SGPSTPOSINTR
granüllü endoplazmik retikulumunuza	granüllü endoplazmik retikulumNDATSGPSS2P
makinamın	makinaNGENSGPSS1S
sikişmiyor musunuz?	sikişmekVIND2PLPRSPROGNEGINTR
otunda	otNLOCSGPSS2S
sıvılaşmazlar mı?	sıvılaşmakVIND3PLPRSNEGINTR
hücrelersin	hücreNLGSPEC12SPLPRS
dökeceğim	dökmekVIND1SGFUTPOSDECL
minarelerinin	minareNGENPLPSS2S
tavernamızı	tavernaNACCSGPSS1P
erkeneklerim	erkenekNLGSPEC11SPLPRS
karında	karıNLOCSGPSS2S
örttüler	örtmekVIND3PLPSTPOSDECL
gözledi	gözlemekVIND3SGPSTPOSDECL
yaymıyor musunuz?	yaymakVIND2PLPRSPROGNEGINTR
serverlerdik	serverNLGSPEC11PPLPST
teşhirlerinde	teşhirNLOCSGPSS3P
